"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,"Completely Disagree",NA,1
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,NA,NA,2
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,NA,NA,3
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,NA,NA,4
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,NA,NA,5
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,NA,NA,6
"liu_2025_mlq","liu_2025_mlq_1","item_1","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻觅我人生的一个目的或使命。","I am seeking a purpose or mission for my life.",NA,"Completely Agree",NA,7
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,"Completely Agree",NA,1
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,NA,NA,2
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,NA,NA,3
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,NA,NA,4
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,NA,NA,5
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,NA,NA,6
"liu_2025_mlq","liu_2025_mlq_1","item_2","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我的生活没有明确的目的。","My life has no clear purpose.",NA,"Completely Disagree",NA,7
"liu_2025_mlq","liu_2025_mlq_1","item_3","Meaning in Life Questionnaire, Chinese revision (C-MLQ; Steger et al. 2006, revised by Liu & Gan 2010), 9 items","Chinese",NA,NA,"我正在寻找自己的生活的意义。","I am searching for meaning in my life.",NA,"Completely Disagree",NA,1
