"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_1","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"不按时服药","Not taking medications on time",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_1","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"不按时服药","Not taking medications on time",NA,1,"已选择","Selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_2","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"擅自增减剂量","Unauthorized dosage changes",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_2","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"擅自增减剂量","Unauthorized dosage changes",NA,1,"已选择","Selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_3","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"擅自改变服药频率","Unauthorized changes in dosing frequency",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_3","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"擅自改变服药频率","Unauthorized changes in dosing frequency",NA,1,"已选择","Selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_4","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"自主停药","Self withdrawal medications",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_4","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"自主停药","Self withdrawal medications",NA,1,"已选择","Selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_5","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"漏服药物","Omission of medications",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_5","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"漏服药物","Omission of medications",NA,1,"已选择","Selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_6","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"未及时买药","Not buying medications in time",NA,0,"未选择","Not selected"
"liu_2023_poor_adherence","liu_2023_poor_adherence_1","liu_2023_poor_adherence_6","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q16 poor-adherence situations checklist","Chinese","您认为下列哪些情况可以视为高血压患者药物依从性不佳？ [多选题]","Which of the following situations do you think can be considered as poor medication adherence of hypertensive patients? [Multiple choice questions]",NA,"未及时买药","Not buying medications in time",NA,1,"已选择","Selected"
