"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","item_text_translated","option_text_translated"
"sv-maia2_randelovic_2021_erq","main","ERQ_1","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"1. Kada želim da osećam pozitivnije emocije (kao što su uživanje ili zabava), promenim ono o čemu razmišljam",NA,"uopšte se ne slažem",1,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about","strongly disagree"
"sv-maia2_randelovic_2021_erq","main","ERQ_1","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"1. Kada želim da osećam pozitivnije emocije (kao što su uživanje ili zabava), promenim ono o čemu razmišljam",NA,NA,2,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about",NA
"sv-maia2_randelovic_2021_erq","main","ERQ_1","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"1. Kada želim da osećam pozitivnije emocije (kao što su uživanje ili zabava), promenim ono o čemu razmišljam",NA,"neutralan/na sam",3,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about","neutral"
"sv-maia2_randelovic_2021_erq","main","ERQ_1","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"1. Kada želim da osećam pozitivnije emocije (kao što su uživanje ili zabava), promenim ono o čemu razmišljam",NA,NA,4,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about",NA
"sv-maia2_randelovic_2021_erq","main","ERQ_1","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"1. Kada želim da osećam pozitivnije emocije (kao što su uživanje ili zabava), promenim ono o čemu razmišljam",NA,"potpunosti se slažem",5,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","1. When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about","strongly agree"
"sv-maia2_randelovic_2021_erq","main","ERQ_10","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"10. Kada želim da se osećam manje loše, menjam način na koji mislim o situaciji u kojoj sam",NA,"uopšte se ne slažem",1,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation","strongly disagree"
"sv-maia2_randelovic_2021_erq","main","ERQ_10","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"10. Kada želim da se osećam manje loše, menjam način na koji mislim o situaciji u kojoj sam",NA,NA,2,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation",NA
"sv-maia2_randelovic_2021_erq","main","ERQ_10","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"10. Kada želim da se osećam manje loše, menjam način na koji mislim o situaciji u kojoj sam",NA,"neutralan/na sam",3,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation","neutral"
"sv-maia2_randelovic_2021_erq","main","ERQ_10","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"10. Kada želim da se osećam manje loše, menjam način na koji mislim o situaciji u kojoj sam",NA,NA,4,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation",NA
"sv-maia2_randelovic_2021_erq","main","ERQ_10","Emotion Regulation Questionnaire","Želimo da vam postavimo neka pitanja o vašem emotivnom životu, konkretno o tome kako kontrolišete svoje emocije (to jest, regulišete ih i upravljate njima). Pitanja u nastavku uključuju dva odvojena aspekta vešeg emotivnog života. Jedan je vaše emotivno iskustvo, odnosno kako se vi osećate “iznutra”. Drugi je vaša emotivna izražajnost, odnosno kako pokazujete svoje emocije kada pričate, gestikulirate i ponašate se na različite načine. Iako vam neka od narednih pitanja mogu delovati slično jedna drugim, ona se razlikuju na važne načine. Za svaki ajtem, odgovorite koristeći sledeću skalu:",NA,"10. Kada želim da se osećam manje loše, menjam način na koji mislim o situaciji u kojoj sam",NA,"potpunosti se slažem",5,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:","10. When I want to feel less negative emotion, I change the way I’m thinking about the situation","strongly agree"
