"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"reuter_2021_emotions","reuter_2021_emotions_1","Alone","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Alone",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Alone","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Alone",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Angry","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Angry",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Angry","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Angry",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Anxious","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Anxious",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Anxious","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Anxious",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Calm","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Calm",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Calm","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Calm",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Confident","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Confident",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Confident","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Confident",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Demoralized","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Demoralized",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Demoralized","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Demoralized",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Depressed","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Depressed",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Depressed","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Depressed",NA,NA,1
"reuter_2021_emotions","reuter_2021_emotions_1","Disconnected","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Disconnected",NA,NA,0
"reuter_2021_emotions","reuter_2021_emotions_1","Disconnected","Student Health Behavior and Academic Success survey (COVID-19 version, Appendix 2) - emotional state word check-list","Please select up to ten words that describe your emotional state this semester.",NA,"Disconnected",NA,NA,1
