"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-1","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear beginning, middle, and end.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-1","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear beginning, middle, and end.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-1","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear beginning, middle, and end.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-1","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear beginning, middle, and end.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-2","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Complete 7-stages of actions.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-2","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Complete 7-stages of actions.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-2","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Complete 7-stages of actions.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-2","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Complete 7-stages of actions.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-3","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear feedback to indicate goals are achieved and current stacks of goals can be released. Examples of good closures include many dialogues.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-3","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear feedback to indicate goals are achieved and current stacks of goals can be released. Examples of good closures include many dialogues.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-3","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear feedback to indicate goals are achieved and current stacks of goals can be released. Examples of good closures include many dialogues.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h10_closure","tsai_2017_treeit_h10_closure_1","H10-3","Treeit Heuristic Evaluation (Zhang et al. 14 usability heuristics): H10. Closure","Chinese","Clear closure. Every task has a beginning and an end. Users should be clearly notified about the completion of a task.",NA,NA,NA,"Clear feedback to indicate goals are achieved and current stacks of goals can be released. Examples of good closures include many dialogues.",NA,NA,"Very satisfied",NA,5
