"table","tier","verdict","item_text","option_text","instructions","section_prompt","scripts","tag_class","lang_tag","language","action"
"aguirre_camacho_2021_champion","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","Spanish","add language + generate _translated for the ADMIN fields"
"algner2022_uwes","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","German","add language + generate _translated for the ADMIN fields"
"alsecypiamh_wu_2022_cps","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","chi,eng","Chinese","add language + generate _translated for the ADMIN fields"
"an_2020_efl_self_regulated","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","unknown","","Chinese","add language + generate _translated for the ADMIN fields"
"aslec_insomnia_wang2025","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","CJK","nonenglish","zho","Chinese","add language + generate _translated for the ADMIN fields"
"aspirations_sonmez_2022","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","nonenglish","tur","Turkish","add language + generate _translated for the ADMIN fields"
"baka2023_bpnsf","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","Polish","add language + generate _translated for the ADMIN fields"
"baka2023_jcs","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","Polish","add language + generate _translated for the ADMIN fields"
"baka2023_olbi","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","Polish","add language + generate _translated for the ADMIN fields"
"baka2023_uwes","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","Polish","add language + generate _translated for the ADMIN fields"
"bakumenko_2023_adyghe_values","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","Cyrillic","unknown","","Russian","add language + generate _translated for the ADMIN fields"
"beck_2021_iesr","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","","German","add language + generate _translated for the ADMIN fields"
"brederecke_2020_sis","C","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","NA","German","RESOLVED 2026-09-01 by splitting the base field, deliberately and with the reasoning recorded in provenance.csv: German to item_text, English to item_text_translated, nothing else changed. The table is live and irw_site/itemtext_issues.qmd describes the shipped German. Original verdict, now superseded, follows. CANNOT BACKFILL: item_text holds BOTH languages in one field, ""English (German)"". The administered wording is the German inside the parentheses, so making this table correct means SPLITTING the base field - a correction to published data, not an added column, and outside what a backfill may do. Needs a decision. See #1799/#1801."
"bscs_fadplus_goto2021","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK;Kana","nonenglish","jpn","Japanese","add language + generate _translated for the ADMIN fields"
"burkert_2019_whoqol_bref","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","ADMIN","","unknown","","German","add language + generate _translated for the ADMIN fields"
