"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_1","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Posso olhar para uma pintura por um longo tempo.",NA,"Discordo muito",1,NA,NA,"I can look at a painting for a long time.","strongly disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_1","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Posso olhar para uma pintura por um longo tempo.",NA,"Discordo pouco",2,NA,NA,"I can look at a painting for a long time.","disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_1","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Posso olhar para uma pintura por um longo tempo.",NA,"Nem concordo nem discordo",3,NA,NA,"I can look at a painting for a long time.","neither agree nor disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_1","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Posso olhar para uma pintura por um longo tempo.",NA,"Concordo pouco",4,NA,NA,"I can look at a painting for a long time.","agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_1","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Posso olhar para uma pintura por um longo tempo.",NA,"Concordo muito",5,NA,NA,"I can look at a painting for a long time.","strongly agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_2","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Me certifico que as coisas estão no lugar certo.",NA,"Discordo muito",1,NA,NA,"I make sure that things are in the right spot.","strongly disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_2","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Me certifico que as coisas estão no lugar certo.",NA,"Discordo pouco",2,NA,NA,"I make sure that things are in the right spot.","disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_2","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Me certifico que as coisas estão no lugar certo.",NA,"Nem concordo nem discordo",3,NA,NA,"I make sure that things are in the right spot.","neither agree nor disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_2","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Me certifico que as coisas estão no lugar certo.",NA,"Concordo pouco",4,NA,NA,"I make sure that things are in the right spot.","agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_2","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Me certifico que as coisas estão no lugar certo.",NA,"Concordo muito",5,NA,NA,"I make sure that things are in the right spot.","strongly agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_3","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Fico indiferente com alguém que foi ruim comigo.",NA,"Discordo muito",1,NA,NA,"I remain unfriendly to someone who was mean to me.","strongly disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_3","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Fico indiferente com alguém que foi ruim comigo.",NA,"Discordo pouco",2,NA,NA,"I remain unfriendly to someone who was mean to me.","disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_3","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Fico indiferente com alguém que foi ruim comigo.",NA,"Nem concordo nem discordo",3,NA,NA,"I remain unfriendly to someone who was mean to me.","neither agree nor disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_3","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Fico indiferente com alguém que foi ruim comigo.",NA,"Concordo pouco",4,NA,NA,"I remain unfriendly to someone who was mean to me.","agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_3","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Fico indiferente com alguém que foi ruim comigo.",NA,"Concordo muito",5,NA,NA,"I remain unfriendly to someone who was mean to me.","strongly agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_4","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Ninguém gosta de falar comigo.",NA,"Discordo muito",1,NA,NA,"Nobody likes talking to me.","strongly disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_4","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Ninguém gosta de falar comigo.",NA,"Discordo pouco",2,NA,NA,"Nobody likes talking to me.","disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_4","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Ninguém gosta de falar comigo.",NA,"Nem concordo nem discordo",3,NA,NA,"Nobody likes talking to me.","neither agree nor disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_4","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Ninguém gosta de falar comigo.",NA,"Concordo pouco",4,NA,NA,"Nobody likes talking to me.","agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_4","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Ninguém gosta de falar comigo.",NA,"Concordo muito",5,NA,NA,"Nobody likes talking to me.","strongly agree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_5","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Tenho medo de sentir dor.",NA,"Discordo muito",1,NA,NA,"I am afraid of feeling pain.","strongly disagree"
"dasilva_2019_hexaco24","dasilva_2019_hexaco24_1","HEXACO24_5","Brief HEXACO Inventory (BHI)","Portuguese",NA,NA,"Tenho medo de sentir dor.",NA,"Discordo pouco",2,NA,NA,"I am afraid of feeling pain.","disagree"
