"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"kim2020_ams","kim2020_ams_1","Q01","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"몸 상태가 안 좋아진 느낌이다 (전반적인 건강에 대한 주관적인 느낌)","Decline in your feeling of general well-being (general state of health, subjective feeling)",NA,"없음","none",1
"kim2020_ams","kim2020_ams_1","Q01","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"몸 상태가 안 좋아진 느낌이다 (전반적인 건강에 대한 주관적인 느낌)","Decline in your feeling of general well-being (general state of health, subjective feeling)",NA,"가벼움","mild",2
"kim2020_ams","kim2020_ams_1","Q01","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"몸 상태가 안 좋아진 느낌이다 (전반적인 건강에 대한 주관적인 느낌)","Decline in your feeling of general well-being (general state of health, subjective feeling)",NA,"보통","moderate",3
"kim2020_ams","kim2020_ams_1","Q01","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"몸 상태가 안 좋아진 느낌이다 (전반적인 건강에 대한 주관적인 느낌)","Decline in your feeling of general well-being (general state of health, subjective feeling)",NA,"심함","severe",4
"kim2020_ams","kim2020_ams_1","Q01","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"몸 상태가 안 좋아진 느낌이다 (전반적인 건강에 대한 주관적인 느낌)","Decline in your feeling of general well-being (general state of health, subjective feeling)",NA,"매우심함","extremely severe",5
"kim2020_ams","kim2020_ams_1","Q02","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"관절과 근육이 아프다 (허리, 관절, 등이 아프거나 팔 다리가 쑤신다)","Joint pain and muscular ache (lower back pain, joint pain, pain in a limb, general back ache)",NA,"없음","none",1
"kim2020_ams","kim2020_ams_1","Q02","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"관절과 근육이 아프다 (허리, 관절, 등이 아프거나 팔 다리가 쑤신다)","Joint pain and muscular ache (lower back pain, joint pain, pain in a limb, general back ache)",NA,"가벼움","mild",2
"kim2020_ams","kim2020_ams_1","Q02","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"관절과 근육이 아프다 (허리, 관절, 등이 아프거나 팔 다리가 쑤신다)","Joint pain and muscular ache (lower back pain, joint pain, pain in a limb, general back ache)",NA,"보통","moderate",3
"kim2020_ams","kim2020_ams_1","Q02","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"관절과 근육이 아프다 (허리, 관절, 등이 아프거나 팔 다리가 쑤신다)","Joint pain and muscular ache (lower back pain, joint pain, pain in a limb, general back ache)",NA,"심함","severe",4
"kim2020_ams","kim2020_ams_1","Q02","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"관절과 근육이 아프다 (허리, 관절, 등이 아프거나 팔 다리가 쑤신다)","Joint pain and muscular ache (lower back pain, joint pain, pain in a limb, general back ache)",NA,"매우심함","extremely severe",5
"kim2020_ams","kim2020_ams_1","Q03","Aging Males' Symptoms (AMS) scale","Korean","아래의 항목 중 당신께서 갖고 계신 증상이 있다면 그 심한 정도를 주어진 네모 칸에 표시하십시오. 없는 증상에 대해서는 ‘없음’에 표시하십시오","Which of the following symptoms apply to you at this time? Please, mark the appropriate box for each symptom. For symptoms that do not apply, please mark “none”.",NA,NA,"땀이 지나치게 많이 난다 (갑자기 식은땀이 나거나 긴장하지 않아도 얼굴이 화끈거린다)","Excessive sweating (unexpected/sudden episodes of sweating, hot flushes independent of strain)",NA,"없음","none",1
