"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Heart attack or other heart disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Heart attack or other heart disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Heart attack or other heart disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS1","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Heart attack or other heart disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Thyroid disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Thyroid disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Thyroid disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS2","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Thyroid disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High blood pressure",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High blood pressure",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High blood pressure",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS3","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High blood pressure",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High cholesterol level",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High cholesterol level",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High cholesterol level",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS4","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"High cholesterol level",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Migraine headaches",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Migraine headaches",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Migraine headaches",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS5","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Migraine headaches",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Diabetes",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Diabetes",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Diabetes",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS6","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Diabetes",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS7","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Cancer",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS7","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Cancer",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS7","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Cancer",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS7","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Cancer",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS8","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Stroke",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS8","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Stroke",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS8","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Stroke",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS8","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Stroke",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS9","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Parkinson's disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS9","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Parkinson's disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS9","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Parkinson's disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS9","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Parkinson's disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS10","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Multiple Sclerosis",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS10","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Multiple Sclerosis",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS10","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Multiple Sclerosis",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS10","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Multiple Sclerosis",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS11","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Epilepsy",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS11","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Epilepsy",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS11","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Epilepsy",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS11","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Epilepsy",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS12","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Alzheimer's disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS12","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Alzheimer's disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS12","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Alzheimer's disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS12","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Alzheimer's disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS13","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Allergies/hay fever/asthma",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS13","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Allergies/hay fever/asthma",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS13","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Allergies/hay fever/asthma",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS13","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Allergies/hay fever/asthma",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS14","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Chronic lung disease/emphysema",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS14","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Chronic lung disease/emphysema",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS14","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Chronic lung disease/emphysema",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS14","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Chronic lung disease/emphysema",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS15","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Kidney disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS15","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Kidney disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS15","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Kidney disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS15","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Kidney disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS16","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Ulcerative colitis",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS16","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Ulcerative colitis",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS16","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Ulcerative colitis",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS16","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Ulcerative colitis",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS17","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Anemia",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS17","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Anemia",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS17","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Anemia",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS17","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Anemia",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS18","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Hepatitis or liver disease",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS18","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Hepatitis or liver disease",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS18","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Hepatitis or liver disease",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS18","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Hepatitis or liver disease",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS19","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Arthritis",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS19","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Arthritis",NA,"Yes, but never treated",2
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS19","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Arthritis",NA,"Yes, and treated in the past",3
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS19","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Arthritis",NA,"Yes, and being treated now",4
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS20","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Lupus",NA,"No",1
"goldberg_2018_spa_medical_history","goldberg_2018_spa_medical_history_1","MEDHIS20","Eugene-Springfield Community Sample, Skills, Possessions, & Abilities (SPA): Your Medical History","Has a doctor ever told you that you had any of the following conditions? Choose only one answer for each condition.",NA,"Lupus",NA,"Yes, but never treated",2
