"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"User model matches system image.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"User model matches system image.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"User model matches system image.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"User model matches system image.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"User model matches system image.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Actions provided by the system match the actions performed by users.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Actions provided by the system match the actions performed by users.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Actions provided by the system match the actions performed by users.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Actions provided by the system match the actions performed by users.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Actions provided by the system match the actions performed by users.",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Objects in the system match the objects of the task.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Objects in the system match the objects of the task.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Objects in the system match the objects of the task.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Objects in the system match the objects of the task.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h3_match","tsai_2017_treeit_h3_match_1","H3-3","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H3. Match","Chinese","Match between system and world. The image of the system perceived by users should match the model the users have about the system.",NA,NA,NA,"Objects in the system match the objects of the task.",NA,NA,"Very satisfied",NA,5
