"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is useful.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is useful.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is useful.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is useful.",NA,"Disagree",2
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is useful.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is useful.",NA,"Neutral",3
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is useful.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is useful.",NA,"Agree",4
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is useful.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is useful.",NA,"Strongly agree",5
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is worthwhile.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is worthwhile.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is worthwhile.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is worthwhile.",NA,"Disagree",2
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is worthwhile.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is worthwhile.",NA,"Neutral",3
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is worthwhile.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is worthwhile.",NA,"Agree",4
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is worthwhile.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is worthwhile.",NA,"Strongly agree",5
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is complicated.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is complicated.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is complicated.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is complicated.",NA,"Disagree",2
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is complicated.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is complicated.",NA,"Neutral",3
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is complicated.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is complicated.",NA,"Agree",4
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","Buying luxury fashion goods online is complicated.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"Buying luxury fashion goods online is complicated.",NA,"Strongly agree",5
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is very likely that I will buy luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is very likely that I will buy luxury fashion goods online.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is very likely that I will buy luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is very likely that I will buy luxury fashion goods online.",NA,"Disagree",2
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is very likely that I will buy luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is very likely that I will buy luxury fashion goods online.",NA,"Neutral",3
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is very likely that I will buy luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is very likely that I will buy luxury fashion goods online.",NA,"Agree",4
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is very likely that I will buy luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is very likely that I will buy luxury fashion goods online.",NA,"Strongly agree",5
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is highly probable that I will consider getting luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is highly probable that I will consider getting luxury fashion goods online.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is highly probable that I will consider getting luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is highly probable that I will consider getting luxury fashion goods online.",NA,"Disagree",2
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is highly probable that I will consider getting luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is highly probable that I will consider getting luxury fashion goods online.",NA,"Neutral",3
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is highly probable that I will consider getting luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is highly probable that I will consider getting luxury fashion goods online.",NA,"Agree",4
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is highly probable that I will consider getting luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is highly probable that I will consider getting luxury fashion goods online.",NA,"Strongly agree",5
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is certain that I will consider buying luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is certain that I will consider buying luxury fashion goods online.",NA,"Strongly Disagree",1
"majeed_2024_luxury_purchase","majeed_2024_luxury_purchase_1","It is certain that I will consider buying luxury fashion goods online.","Online Luxury Purchase Intention Questionnaire (Majeed et al., 2024)",NA,NA,"It is certain that I will consider buying luxury fashion goods online.",NA,"Disagree",2
