"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,"Hardly ever",1
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,NA,2
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,NA,3
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,"Some of the time",4
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,NA,5
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,NA,6
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost1","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others leave me out of their group.",NA,"Almost always",7
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,"Hardly ever",1
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,NA,2
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,NA,3
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,"Some of the time",4
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,NA,5
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,NA,6
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost2","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others keep me out-of-the-loop on information that is important to my close relationships.",NA,"Almost always",7
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost3","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others treatment as if I am invisible.",NA,"Hardly ever",1
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost3","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others treatment as if I am invisible.",NA,NA,2
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost3","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others treatment as if I am invisible.",NA,NA,3
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost3","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others treatment as if I am invisible.",NA,"Some of the time",4
"wesselmann_2018_ostracism","wesselmann_2018_ostracism_1","ost3","Ostracism Experience Scale for Adults (Carter-Sowell, 2010)","For each of the following statements, please consider your personal feelings. Determine how often, in general, the following experiences happen to you. Just give your gut response.",NA,"In general, others treatment as if I am invisible.",NA,NA,5
