"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-1:In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.) ：Students find it difficult to read English textbooks, journals, and papers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students find it difficult to read English textbooks, journals, and papers.",NA,"Strongly Disagree",1
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-1:In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.) ：Students find it difficult to read English textbooks, journals, and papers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students find it difficult to read English textbooks, journals, and papers.",NA,"Disagree",2
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-1:In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.) ：Students find it difficult to read English textbooks, journals, and papers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students find it difficult to read English textbooks, journals, and papers.",NA,"Neutral / Not Sure",3
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-1:In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.) ：Students find it difficult to read English textbooks, journals, and papers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students find it difficult to read English textbooks, journals, and papers.",NA,"Agree",4
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-1:In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.) ：Students find it difficult to read English textbooks, journals, and papers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students find it difficult to read English textbooks, journals, and papers.",NA,"Strongly Agree",5
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-2 Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.",NA,"Strongly Disagree",1
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-2 Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.",NA,"Disagree",2
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-2 Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.",NA,"Neutral / Not Sure",3
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-2 Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.",NA,"Agree",4
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-2 Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students cannot keep up with the speech speed or understand the terminology when listening to lectures, courses, or videos by foreign experts.",NA,"Strongly Agree",5
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-3 Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.",NA,"Strongly Disagree",1
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-3 Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.",NA,"Disagree",2
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-3 Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.",NA,"Neutral / Not Sure",3
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-3 Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.",NA,"Agree",4
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-3 Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty expressing themselves in English during class discussions, group presentations, design explanations, or when communicating with teachers and peers.",NA,"Strongly Agree",5
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-4 Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.",NA,"Strongly Disagree",1
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-4 Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.",NA,"Disagree",2
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-4 Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.",NA,"Neutral / Not Sure",3
"sun_2026_eap_difficulty","sun_2026_eap_difficulty_1","3-4 Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.","Architectural Art English EAP needs analysis questionnaire, Section 3: learning difficulties","Chinese","In the learning process of architecture, landscape architecture, and art-related majors, what difficulties do students typically encounter? Please select according to the severity of the problem. (Teachers, please select based on your own observations; students, please select based on your own circumstances.)",NA,"Students have difficulty writing English design descriptions, paper abstracts, English reports for class assignments, etc.",NA,"Agree",4
