"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_1","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unpleasant ←→ Pleasant",NA,"Unpleasant",1,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_1","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unpleasant ←→ Pleasant",NA,NA,2,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_1","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unpleasant ←→ Pleasant",NA,NA,3,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_1","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unpleasant ←→ Pleasant",NA,NA,4,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_1","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unpleasant ←→ Pleasant",NA,"Pleasant",5,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_2","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unkind ←→ Kind",NA,"Unkind",1,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_2","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unkind ←→ Kind",NA,NA,2,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_2","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unkind ←→ Kind",NA,NA,3,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_2","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unkind ←→ Kind",NA,NA,4,NA,NA,NA,NA
"komura_2026_gqs_likeability","komura_2026_gqs_likeability_1","gqs_likeability_2","Godspeed Questionnaire Series (GQS): Likeability","Japanese","In the following questions, we ask about the AI you used for idea generation. Please evaluate each item on a 5-point scale indicating which adjective better applies.",NA,"Unkind ←→ Kind",NA,"Kind",5,NA,NA,NA,NA
