source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
dataverse,Replication Data for: Party or Policy? The Role of Policy Partisanship in Voter Decision-Making,https://doi.org/10.7910/DVN/AEZ83R,10.7910/dvn/aez83r,cc0,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1725.0,345.0,5.0,1.0,1710000501_databaseLoadingData.csv,4.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Validation of Online Histrionic Personality Scale Indonesian version,https://figshare.com/articles/dataset/Validation_of_Online_Histrionic_Personality_Scale_Indonesian_version/30581267,10.6084/m9.figshare.30581267.v1,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",50280.0,838.0,60.0,1.0,OHPS validation dataset.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
mendeley,Dataset for the Deez Alexithymia Scale (DAS-21): Adult Community Sample,https://data.mendeley.com/datasets/kgjmh2fwk9,10.17632/kgjmh2fwk9,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, composite_items*",8700.0,300.0,29.0,1.0,DAS21_full_dataset.csv,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
mendeley,"Assessment of borderline personality in nursing homes, departments of geriatric medicine and long term care hospitals according to the Inventory of Personality Organization (IPO)",https://data.mendeley.com/datasets/zc47xbw2kk,10.17632/zc47xbw2kk,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, composite_items*",3996.0,444.0,9.0,1.0,Excel IPO 83 items V2.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,AI-ASSISTED SELF-REGULATED LEARNING AND MOTIVATION SCALE,https://zenodo.org/records/21399786,10.5281/zenodo.21399786,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Pilot (EFA; n = 420)', 'Main (CFA; n = 684)', 'Sample Comparability']",,,,,Data Consolidated.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
scholars_portal,Replication data for : Biosecurity adoption in Quebec dairy farms: results from a risk assessment questionnaire analyzed using conventional and unsupervised artificial intelligence methods,https://doi.org/10.5683/SP3/SWTZFF,10.5683/sp3/swtzff,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Number in the questionnaire', 'Question ', 'Name of the variable in the dataset', 'Values']",,,,,Codebook.xlsx,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Interviews Questionnaire Pilot Islands,https://zenodo.org/records/8348386,10.5281/zenodo.8348386,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['What do you already know about demand response?', 'A little bit', 'A lot', 'A big deal', 'Something', 'Something.1', 'A little bit.1', 'Something.2', 'A big deal.1', 'Something.3', 'Nothing', 'Nothing.1', 'Something.4', 'Nothing.2', 'A little bit.2', '",,,,,REACT -DATA set ZENODO Questionnaire-Interviews-.xls,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,DOMAIN questionnaire dataset,https://zenodo.org/records/13220746,10.5281/zenodo.13220746,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['ID;""sex (1=man; 2=woman)"";age;DOMAIN_1;DOMAIN_2;DOMAIN_3;DOMAIN_3R;DOMAIN_4;DOMAIN_4R;DOMAIN_5;DOMAIN_6;DOMAIN_7;DOMAIN_7R;DOMAIN_8;DOMAIN_8R;DOMAIN_9;DOMAIN_9R;DOMAIN_10;DOMAIN_11;DOMAIN_12;DOMAIN_12R;DOMAIN_13;DOMAIN_13R;DOMAIN_14;DOMAIN_15;DOMAIN_16",,,,,DND_Datafile.csv,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Development and Validation of a Smartphone Addiction Scale (SAS),https://plos.figshare.com/articles/dataset/Development_and_Validation_of_a_Smartphone_Addiction_Scale_SAS__/640998,10.1371/journal.pone.0056936,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Figure S1. Visual Analogue Scale'],,,,,Figure_S1.xlsx,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Dataset for Emotional Intelligence and teacher Self-Efficacy in Initial Teacher Education: A Psychoeducational Intervention with Spanish Pre-Service Teachers,https://zenodo.org/records/18091343,10.5281/zenodo.18091343,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",50511.0,202.0,277.0,0.9027,Datos.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
