"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ فهمٌ عامٌّ لأنواع الذَّكاء الاصطناعيّ المستخدَمة في اللُّغة، سواءٌ أكانت توليديةً أم تقنيات المعالجة الآلية للُّغة.","I have a general understanding of the types of AI used for language, whether generative or NLP technologies.",NA,1,"strongly disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ فهمٌ عامٌّ لأنواع الذَّكاء الاصطناعيّ المستخدَمة في اللُّغة، سواءٌ أكانت توليديةً أم تقنيات المعالجة الآلية للُّغة.","I have a general understanding of the types of AI used for language, whether generative or NLP technologies.",NA,2,"disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ فهمٌ عامٌّ لأنواع الذَّكاء الاصطناعيّ المستخدَمة في اللُّغة، سواءٌ أكانت توليديةً أم تقنيات المعالجة الآلية للُّغة.","I have a general understanding of the types of AI used for language, whether generative or NLP technologies.",NA,3,"neutral",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ فهمٌ عامٌّ لأنواع الذَّكاء الاصطناعيّ المستخدَمة في اللُّغة، سواءٌ أكانت توليديةً أم تقنيات المعالجة الآلية للُّغة.","I have a general understanding of the types of AI used for language, whether generative or NLP technologies.",NA,4,"agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW1","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ فهمٌ عامٌّ لأنواع الذَّكاء الاصطناعيّ المستخدَمة في اللُّغة، سواءٌ أكانت توليديةً أم تقنيات المعالجة الآلية للُّغة.","I have a general understanding of the types of AI used for language, whether generative or NLP technologies.",NA,5,"strongly agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ معرفةٌ ببعض المنصات العربيّة المتخصِّصة في معالجة اللُّغة، (مثل: منصة ""فراسة""، ""مُشكل""، أو ""قلم"").","I have knowledge of some specialised Arabic language-processing platforms (e.g., Farasa, Mushkil, Qalam).",NA,1,"strongly disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ معرفةٌ ببعض المنصات العربيّة المتخصِّصة في معالجة اللُّغة، (مثل: منصة ""فراسة""، ""مُشكل""، أو ""قلم"").","I have knowledge of some specialised Arabic language-processing platforms (e.g., Farasa, Mushkil, Qalam).",NA,2,"disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ معرفةٌ ببعض المنصات العربيّة المتخصِّصة في معالجة اللُّغة، (مثل: منصة ""فراسة""، ""مُشكل""، أو ""قلم"").","I have knowledge of some specialised Arabic language-processing platforms (e.g., Farasa, Mushkil, Qalam).",NA,3,"neutral",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ معرفةٌ ببعض المنصات العربيّة المتخصِّصة في معالجة اللُّغة، (مثل: منصة ""فراسة""، ""مُشكل""، أو ""قلم"").","I have knowledge of some specialised Arabic language-processing platforms (e.g., Farasa, Mushkil, Qalam).",NA,4,"agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW2","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"لديّ معرفةٌ ببعض المنصات العربيّة المتخصِّصة في معالجة اللُّغة، (مثل: منصة ""فراسة""، ""مُشكل""، أو ""قلم"").","I have knowledge of some specialised Arabic language-processing platforms (e.g., Farasa, Mushkil, Qalam).",NA,5,"strongly agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أتابع بشكلٍ عام تطورات أدوات الذَّكاء الاصطناعيّ وتأثيرها على دراسة العربيّة.","I generally follow developments in AI tools and their effect on the study of Arabic.",NA,1,"strongly disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أتابع بشكلٍ عام تطورات أدوات الذَّكاء الاصطناعيّ وتأثيرها على دراسة العربيّة.","I generally follow developments in AI tools and their effect on the study of Arabic.",NA,2,"disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أتابع بشكلٍ عام تطورات أدوات الذَّكاء الاصطناعيّ وتأثيرها على دراسة العربيّة.","I generally follow developments in AI tools and their effect on the study of Arabic.",NA,3,"neutral",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أتابع بشكلٍ عام تطورات أدوات الذَّكاء الاصطناعيّ وتأثيرها على دراسة العربيّة.","I generally follow developments in AI tools and their effect on the study of Arabic.",NA,4,"agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW3","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أتابع بشكلٍ عام تطورات أدوات الذَّكاء الاصطناعيّ وتأثيرها على دراسة العربيّة.","I generally follow developments in AI tools and their effect on the study of Arabic.",NA,5,"strongly agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف تطبيقات ذكاء اصطناعيّ مناسبةً لتعلم اللُّغة أو الأدبِ.","I know AI applications suitable for learning language or literature.",NA,1,"strongly disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف تطبيقات ذكاء اصطناعيّ مناسبةً لتعلم اللُّغة أو الأدبِ.","I know AI applications suitable for learning language or literature.",NA,2,"disagree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف تطبيقات ذكاء اصطناعيّ مناسبةً لتعلم اللُّغة أو الأدبِ.","I know AI applications suitable for learning language or literature.",NA,3,"neutral",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف تطبيقات ذكاء اصطناعيّ مناسبةً لتعلم اللُّغة أو الأدبِ.","I know AI applications suitable for learning language or literature.",NA,4,"agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW4","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف تطبيقات ذكاء اصطناعيّ مناسبةً لتعلم اللُّغة أو الأدبِ.","I know AI applications suitable for learning language or literature.",NA,5,"strongly agree",NA
"ramadan_2026_ai_awareness","ramadan_2026_ai_awareness_1","AW5","Generative AI Competency Questionnaire for Arabic Language and Literature Students - Dimension 1: Awareness & Availability","Arabic",NA,NA,NA,NA,"أعرف بعض المنصات المتخصِّصة في معالجة اللُّغة العربيّة عبْر واجهاتها الرَّقمية.","I know some platforms specialised in Arabic language processing through their digital interfaces.",NA,1,"strongly disagree",NA
