"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_3","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"What is the population of Synomle?","Opt-out",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_3","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"What is the population of Synomle?","Opt-out",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_23","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Not all metals are attracted to magnets","True",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_23","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Not all metals are attracted to magnets","True",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_90","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The reason we experience seasons is because the distance between the earth and sun changes.","False",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_90","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The reason we experience seasons is because the distance between the earth and sun changes.","False",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_6","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Resistance Configuration Theory is a psychological theory that explains:","Opt-out",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_6","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Resistance Configuration Theory is a psychological theory that explains:","Opt-out",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_21","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The number of weeks in a year is approximately:","52",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_21","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The number of weeks in a year is approximately:","52",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_70","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"A man bought a car for $10,000. He sold the car once the price fell by 17%, and invested the money so that he then got back $10,000. His profit on the invested amount is approximately:","0.2",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_70","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"A man bought a car for $10,000. He sold the car once the price fell by 17%, and invested the money so that he then got back $10,000. His profit on the invested amount is approximately:","0.2",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_1","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"When did the battle of Kavkav take place?","Opt-out",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_1","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"When did the battle of Kavkav take place?","Opt-out",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_5","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"What is the Parlichev method?","Opt-out",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","IQ_5","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"What is the Parlichev method?","Opt-out",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_75","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"In 2006, the status of the then planet Pluto was reduced to 'dwarf Planet' so that it was no longer officially the ninth planet in our Solar system. The reason for this was because its' gravitational force was not enough to","Clear its neighbouring region of planetesimals and asteroids etc.",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_75","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"In 2006, the status of the then planet Pluto was reduced to 'dwarf Planet' so that it was no longer officially the ninth planet in our Solar system. The reason for this was because its' gravitational force was not enough to","Clear its neighbouring region of planetesimals and asteroids etc.",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_2","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The radius of the Earth is approximately...","4000 miles",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_2","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"The radius of the Earth is approximately...","4000 miles",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_79","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Which one of the below is not a correct possible solution for x. | x - 9 | <  10.","-4",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_79","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Which one of the below is not a correct possible solution for x. | x - 9 | <  10.","-4",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_69","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Which is the smallest independent country?","Vatican City",NA,0
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_69","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"Which is the smallest independent country?","Vatican City",NA,1
"himmelstein-impossible_question-2025","himmelstein-impossible_question-2025_1","GK_22","This dataset measures accuracy on a two-alternative forced-choice general-knowledge task that also contains unanswerable ('impossible') questions, on which the correct response is to opt out.","General knowledge questions. In this task, you will answer 90 questions, each with two possible answers. After every question, you will receive feedback based on your performance. You can also opt-out (skip) if you are not confident enough in either answer. In that case, you won't be scored based on that answer. After answering each question, you will will be asked to judge how likely it is that you answered that question correctly. You will have 20 seconds to complete each question. Please answer the question based on your knowledge without reference to any external materials.",NA,"China has over 1 billion mobile cellular connections","True",NA,0
