table,live_table,verdict,distinguisher,n_rows,excess_pair,excess_exact,excess_after_all_columns,n_conflicting_pairs,columns,evidence
5personalityfactors,5personalityfactors,mixed_dedupe_then_source,"age (explains 70 of 1,260)",626780,1260,264,1190,980,id|item|resp|age,"The only other column is age, and it separates just 70 of the 1,260 excess rows -- those 70 are ids carrying two different ages, i.e. different people sharing an id. Of the rest, 264 are exact duplicates and 980 carry conflicting responses. Separately, the column is named age and should be cov_age per datastandard.md."
AAQ-II,,retired,,,,,,,,"Not in the live corpus and not in metadata.csv; no successor table matches its 10,521 rows / 1,497 ids / 7 items. Archive copy has 42 excess rows, all exact duplicates. Nothing to fix unless the table is republished."
alcoholstroop_jones2024,alcoholstroop_jones2024,document_column,trialnum,26208,21840,0,0,1040,id|trialnum|stimulus|item|resp|rt,"trialnum fully explains all 21,840 excess rows; grouping by id+item+trialnum leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,id_collision,Group,7098,3094,0,0,2050,id|item|resp|Group,"Group separates every one of the 3,094 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 286 distinct ids across 2 Group values, 221 of them appearing under more than one. Groups: Bulgaria:nid=248,nitem=14 | North America:nid=259,nitem=14. Fix by namespacing id (e.g. paste(Group, id)), not by deduping."
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,id_collision,Group,10140,4420,0,0,3407,id|item|resp|Group,"Group separates every one of the 4,420 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 286 distinct ids across 2 Group values, 221 of them appearing under more than one. Groups: Bulgaria:nid=248,nitem=20 | North America:nid=259,nitem=20. Fix by namespacing id (e.g. paste(Group, id)), not by deduping."
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,AOMT_BR_SF_EDPANAB_Geiger_2021_RF,id_collision,Group,14196,6188,0,0,4940,id|item|resp|Group,"Group separates every one of the 6,188 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 286 distinct ids across 2 Group values, 221 of them appearing under more than one. Groups: Bulgaria:nid=248,nitem=28 | North America:nid=259,nitem=28. Fix by namespacing id (e.g. paste(Group, id)), not by deduping."
Aspirations_Sonmez_2023,Aspirations_Sonmez_2022,mixed_dedupe_then_source,,16555,7280,2320,7280,4960,id|item|resp,"No column explains any of the 7,280 excess rows. 2,320 are exact duplicates (dedupe); the remaining 4,960 carry conflicting responses for the same id+item and need the source to resolve."
autonomysupport_mokken,autonomysupport_mokken,document_column,rater,1813,1715,0,0,98,id|rater|item|resp,"rater fully explains all 1,715 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
concretewords,concretewords,dedupe,,691689,1,1,1,0,id|item|resp,All 1 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
cure_data,cure_data,document_column,period,81934,22130,0,0,16774,resp|period|item|id,"period fully explains all 22,130 excess rows; grouping by id+item+period leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
