"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Strongly disagree",-3
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Moderately disagree",-2
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Slightly disagree",-1
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Neither agree nor disagree",0
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Slightly agree",1
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Moderately agree",2
"gcb5_2025","gcb5_2025_1","gcb_xxx_01_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement.",NA,"Strongly agree",3
"gcb5_2025","gcb5_2025_1","gcb_xxx_02_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"Evidence of alien contact is being concealed from the public.",NA,"Strongly disagree",-3
"gcb5_2025","gcb5_2025_1","gcb_xxx_02_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"Evidence of alien contact is being concealed from the public.",NA,"Moderately disagree",-2
"gcb5_2025","gcb5_2025_1","gcb_xxx_02_x","Generic Conspiracist Beliefs Scale-5 (GCB-5)","Please indicate your level of agreement with each of the statements below.",NA,"Evidence of alien contact is being concealed from the public.",NA,"Slightly disagree",-1
