"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gilbert_meta_68","gilbert_meta_68_1","q1_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q1_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q1_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q1_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q1_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q1_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Letter dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q2_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q2_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q2_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q2_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q2_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q2_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q2_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q2_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Word dictation",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q3_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q3_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q3_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q3_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q3_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q3_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q3_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q3_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the word which matches with the picture",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q4_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture, and write the word",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q4_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture, and write the word",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q4_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture, and write the word",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q4_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture, and write the word",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q5_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and write the name of the object",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q5_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and write the name of the object",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q5_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and write the name of the object",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q5_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and write the name of the object",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q6_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q6_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q6_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q6_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q6_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q6_3","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q6_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q6_4","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Encircle the opposite words",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q7_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (with options)",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q7_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (with options)",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q7_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (with options)",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q7_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (with options)",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q8_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (without options)",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q8_1","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (without options)",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q8_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (without options)",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q8_2","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Complete the sentences (without options)",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q9_1a","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q9_1a","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q9_1b","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q9_1b","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q9_2a","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q9_2a","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q9_2b","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,0
"gilbert_meta_68","gilbert_meta_68_1","q9_2b","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Look at the picture and make a sentence",NA,NA,1
"gilbert_meta_68","gilbert_meta_68_1","q10_1a","Written Hindi language test, Haryana arm (Banerjee et al. 2017 evaluation)",NA,NA,"Comprehension",NA,NA,0
