"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","intmanagement","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras de plantilla están formalmente involucradas en la gestión interna del centro (juntas, órganos de decisión.)",NA,"absolutely disagree",1,NA,NA,"Staff nurses are formally involved in the internal management of the center (boards, decision-making bodies).",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","intmanagement","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras de plantilla están formalmente involucradas en la gestión interna del centro (juntas, órganos de decisión.)",NA,"slightly disagree",2,NA,NA,"Staff nurses are formally involved in the internal management of the center (boards, decision-making bodies).",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","intmanagement","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras de plantilla están formalmente involucradas en la gestión interna del centro (juntas, órganos de decisión.)",NA,"slightly agree",3,NA,NA,"Staff nurses are formally involved in the internal management of the center (boards, decision-making bodies).",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","intmanagement","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras de plantilla están formalmente involucradas en la gestión interna del centro (juntas, órganos de decisión.)",NA,"absolutely agree",4,NA,NA,"Staff nurses are formally involved in the internal management of the center (boards, decision-making bodies).",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdecisions","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras del centro tienen oportunidades para participar en las decisiones que afectan a las distintas políticas que desarrolla el mismo.",NA,"absolutely disagree",1,NA,NA,"Nurses at the center have opportunities to participate in decisions that affect center policies.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdecisions","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras del centro tienen oportunidades para participar en las decisiones que afectan a las distintas políticas que desarrolla el mismo.",NA,"slightly disagree",2,NA,NA,"Nurses at the center have opportunities to participate in decisions that affect center policies.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdecisions","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras del centro tienen oportunidades para participar en las decisiones que afectan a las distintas políticas que desarrolla el mismo.",NA,"slightly agree",3,NA,NA,"Nurses at the center have opportunities to participate in decisions that affect center policies.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdecisions","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Las enfermeras del centro tienen oportunidades para participar en las decisiones que afectan a las distintas políticas que desarrolla el mismo.",NA,"absolutely agree",4,NA,NA,"Nurses at the center have opportunities to participate in decisions that affect center policies.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdevelopment","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Existen muchas oportunidades para el desarrollo profesional del personal de Enfermería.",NA,"absolutely disagree",1,NA,NA,"There are many opportunities for the professional development of nursing staff.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdevelopment","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Existen muchas oportunidades para el desarrollo profesional del personal de Enfermería.",NA,"slightly disagree",2,NA,NA,"There are many opportunities for the professional development of nursing staff.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdevelopment","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Existen muchas oportunidades para el desarrollo profesional del personal de Enfermería.",NA,"slightly agree",3,NA,NA,"There are many opportunities for the professional development of nursing staff.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","oportdevelopment","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"Existen muchas oportunidades para el desarrollo profesional del personal de Enfermería.",NA,"absolutely agree",4,NA,NA,"There are many opportunities for the professional development of nursing staff.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","managlistens","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"La Dirección escucha y da respuesta a los asuntos de sus enfermeras.",NA,"absolutely disagree",1,NA,NA,"Management listens and responds to the concerns of its nurses.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","managlistens","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"La Dirección escucha y da respuesta a los asuntos de sus enfermeras.",NA,"slightly disagree",2,NA,NA,"Management listens and responds to the concerns of its nurses.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","managlistens","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"La Dirección escucha y da respuesta a los asuntos de sus enfermeras.",NA,"slightly agree",3,NA,NA,"Management listens and responds to the concerns of its nurses.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","managlistens","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"La Dirección escucha y da respuesta a los asuntos de sus enfermeras.",NA,"absolutely agree",4,NA,NA,"Management listens and responds to the concerns of its nurses.",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","directorvisible","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"El/la Director/a de Enfermería es accesible y fácilmente “visible”.",NA,"absolutely disagree",1,NA,NA,"The Director of Nursing is accessible and easily ""visible"".",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","directorvisible","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"El/la Director/a de Enfermería es accesible y fácilmente “visible”.",NA,"slightly disagree",2,NA,NA,"The Director of Nursing is accessible and easily ""visible"".",NA
"geacaballero_2019_pes_nwi","geacaballero_2019_pes_nwi_1","directorvisible","Practice Environment Scale of the Nursing Work Index (PES-NWI), Spanish 31-item primary health care version","Spanish",NA,NA,"El/la Director/a de Enfermería es accesible y fácilmente “visible”.",NA,"slightly agree",3,NA,NA,"The Director of Nursing is accessible and easily ""visible"".",NA
