"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"preschool_sel_emt","emta1","emta1_1s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at her face. point to Key expression Her face shows how she feels. Pause 4sNow look at the faces over here point to the Quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression....If no",NA,"Incorrect",0
"preschool_sel_emt","emta1","emta1_1s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at her face. point to Key expression Her face shows how she feels. Pause 4sNow look at the faces over here point to the Quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression....If no",NA,"Same Valence",1
"preschool_sel_emt","emta1","emta1_1s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at her face. point to Key expression Her face shows how she feels. Pause 4sNow look at the faces over here point to the Quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression....If no",NA,"Correct",2
"preschool_sel_emt","emta1","emta1_2s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to Key expression...If no ans",NA,"Incorrect",0
"preschool_sel_emt","emta1","emta1_2s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to Key expression...If no ans",NA,"Same Valence",1
"preschool_sel_emt","emta1","emta1_2s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to Key expression...If no ans",NA,"Correct",2
"preschool_sel_emt","emta1","emta1_3s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression...If no ans",NA,"Incorrect",0
"preschool_sel_emt","emta1","emta1_3s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression...If no ans",NA,"Same Valence",1
"preschool_sel_emt","emta1","emta1_3s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at his face. Point to Key expression His face shows how he feels. Pause 4sNow look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression...If no ans",NA,"Correct",2
"preschool_sel_emt","emta1","emta1_4s_t1","Emotion Matching Task (EMT)",NA,"Practice: Show me the one that feels the same way as this one","Look at her face. Point to Key expression Her face shows how she feels. Pause 4s Now look at the faces over here point to the quad for item 1. Show me which one of these point to the quad feels the same as this one point to key expression. ...If no",NA,"Incorrect",0
