"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa1","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I suppress my own values when they differ from those of the organization.",NA,"Strongly disagree",1
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa1","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I suppress my own values when they differ from those of the organization.",NA,NA,2
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa1","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I suppress my own values when they differ from those of the organization.",NA,NA,3
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa1","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I suppress my own values when they differ from those of the organization.",NA,NA,4
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa1","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I suppress my own values when they differ from those of the organization.",NA,"Strongly agree",5
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa2","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"My behavior reflects the organization’s values, even if they are inconsistent with my personal beliefs.",NA,"Strongly disagree",1
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa2","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"My behavior reflects the organization’s values, even if they are inconsistent with my personal beliefs.",NA,NA,2
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa2","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"My behavior reflects the organization’s values, even if they are inconsistent with my personal beliefs.",NA,NA,3
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa2","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"My behavior reflects the organization’s values, even if they are inconsistent with my personal beliefs.",NA,NA,4
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa2","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"My behavior reflects the organization’s values, even if they are inconsistent with my personal beliefs.",NA,"Strongly agree",5
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa3","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I say things at work that I do not actually believe.",NA,"Strongly disagree",1
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa3","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I say things at work that I do not actually believe.",NA,NA,2
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa3","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I say things at work that I do not actually believe.",NA,NA,3
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa3","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I say things at work that I do not actually believe.",NA,NA,4
"qiang_2025_surface_acting","qiang_2025_surface_acting_1","sa3","Qiang et al. (2025) frontline retail staff survey, value-suppression block (questionnaire items 22-24)","Chinese",NA,NA,"I say things at work that I do not actually believe.",NA,"Strongly agree",5
