"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp"
"namprb_siwiak_2024_bsr10","main","BSR_1","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Ukryte znaczenie przeobraża niespotykane abstrakcyjne piękno.","Hidden meaning transforms unparalleled abstract beauty.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_1","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Ukryte znaczenie przeobraża niespotykane abstrakcyjne piękno.","Hidden meaning transforms unparalleled abstract beauty.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_1","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Ukryte znaczenie przeobraża niespotykane abstrakcyjne piękno.","Hidden meaning transforms unparalleled abstract beauty.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_1","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Ukryte znaczenie przeobraża niespotykane abstrakcyjne piękno.","Hidden meaning transforms unparalleled abstract beauty.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_1","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Ukryte znaczenie przeobraża niespotykane abstrakcyjne piękno.","Hidden meaning transforms unparalleled abstract beauty.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_10","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewytłumaczalne przyjmuje naturalne doświadczenia.","The unexplainable undertakes intrinsic experiences.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_10","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewytłumaczalne przyjmuje naturalne doświadczenia.","The unexplainable undertakes intrinsic experiences.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_10","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewytłumaczalne przyjmuje naturalne doświadczenia.","The unexplainable undertakes intrinsic experiences.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_10","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewytłumaczalne przyjmuje naturalne doświadczenia.","The unexplainable undertakes intrinsic experiences.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_10","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewytłumaczalne przyjmuje naturalne doświadczenia.","The unexplainable undertakes intrinsic experiences.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_11","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy w połowie samoświadomego rozkwitu bytu, który ujednolici nas ze środkiem splotu wydarzeń.","We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_11","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy w połowie samoświadomego rozkwitu bytu, który ujednolici nas ze środkiem splotu wydarzeń.","We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_11","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy w połowie samoświadomego rozkwitu bytu, który ujednolici nas ze środkiem splotu wydarzeń.","We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_11","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy w połowie samoświadomego rozkwitu bytu, który ujednolici nas ze środkiem splotu wydarzeń.","We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_11","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy w połowie samoświadomego rozkwitu bytu, który ujednolici nas ze środkiem splotu wydarzeń.","We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_12","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość składa się z częstotliwości energii kwantowej. „Kwant” oznacza odsłonięcie nieograniczonego.","Consciousness consists of frequencies of quantum energy.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_12","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość składa się z częstotliwości energii kwantowej. „Kwant” oznacza odsłonięcie nieograniczonego.","Consciousness consists of frequencies of quantum energy.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_12","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość składa się z częstotliwości energii kwantowej. „Kwant” oznacza odsłonięcie nieograniczonego.","Consciousness consists of frequencies of quantum energy.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_12","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość składa się z częstotliwości energii kwantowej. „Kwant” oznacza odsłonięcie nieograniczonego.","Consciousness consists of frequencies of quantum energy.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_12","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość składa się z częstotliwości energii kwantowej. „Kwant” oznacza odsłonięcie nieograniczonego.","Consciousness consists of frequencies of quantum energy.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_13","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość to wzrost spójności i nas samych.","Consciousness is the growth of coherence, and of us.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_13","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość to wzrost spójności i nas samych.","Consciousness is the growth of coherence, and of us.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_13","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość to wzrost spójności i nas samych.","Consciousness is the growth of coherence, and of us.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_13","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość to wzrost spójności i nas samych.","Consciousness is the growth of coherence, and of us.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_13","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Świadomość to wzrost spójności i nas samych.","Consciousness is the growth of coherence, and of us.","not at all profound",1
