"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","总是","10","","","How often do you feel happy?","Always"
"sun_2025_morality_study2_pemotion","main","tspermap2","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到积极情绪？","","总是","10","","","How often do you feel positive emotions?","Always"
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","总是","10","","","How often do you feel content?","Always"
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","4","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","1","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","6","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","8","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","9","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","7","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","5","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","2","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap3","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感到满足？","","NA","3","","","How often do you feel content?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","4","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","9","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","8","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","1","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","3","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","6","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","5","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","7","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap1","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到快乐？","","NA","2","","","How often do you feel happy?",""
"sun_2025_morality_study2_pemotion","main","tspermap2","Scores for positive emotion among Chinese employees.","Chinese","NA","NA","您有多经常感受到积极情绪？","","NA","3","","","How often do you feel positive emotions?",""
