"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","language"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,"total disagreement",1,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,NA,2,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,NA,3,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,NA,4,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,NA,5,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,NA,6,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII1","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise is willing to make efforts towards implementing green supply chain integration.",NA,"total agreement",7,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,"total disagreement",1,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,NA,2,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,NA,3,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,NA,4,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,NA,5,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,NA,6,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII2","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise has formulated plans to implement green supply chain integration.",NA,"total agreement",7,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,"total disagreement",1,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,NA,2,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,NA,3,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,NA,4,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,NA,5,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,NA,6,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII3","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Implementing green supply chain integration implies numerous benefits for the enterprise.",NA,"total agreement",7,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,"total disagreement",1,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,NA,2,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,NA,3,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,NA,4,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,NA,5,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,NA,6,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII4","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"The enterprise holds high expectations for the outcomes of implementing green supply chain integration.",NA,"total agreement",7,"Chinese"
"zhang_2025_green_supply_intent","zhang_2025_green_supply_intent_1","GSCII5","Green Supply Chain Integration Intention (GSCII) scale, 5 items (Zhang et al. 2025, adapted from Jum'a et al. 2022 and Singh and Joshi 2024)",NA,NA,"Green supply chain integration is an essential green strategy in the production and operation process of the enterprise.",NA,"total disagreement",1,"Chinese"
