"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,"not at all",1
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,NA,2
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,NA,3
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,"moderately",4
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,NA,5
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,NA,6
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","afraid","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"afraid",NA,"very",7
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,"not at all",1
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,NA,2
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,NA,3
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,"moderately",4
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,NA,5
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,NA,6
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","disgusted","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"disgusted",NA,"very",7
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,"not at all",1
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,NA,2
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,NA,3
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,"moderately",4
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,NA,5
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,NA,6
"alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup","alcoholhealthwarninglabel_brennan_2022_emotional_arousal_followup_1","excited","Emotional Arousal Ratings (Positive and Negative Affect), Follow-up","Thinking about the images of alcohol containers I've seen as part of this study, I felt:",NA,"excited",NA,"very",7
