"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"El manifiesto de importantes artistas musicales en contra de la vulneración de sus derechos por parte de la inteligencia artificial, firmado en 2024","The manifesto by major music artists against the infringement of their rights by artificial intelligence, signed in 2024",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"El manifiesto de importantes artistas musicales en contra de la vulneración de sus derechos por parte de la inteligencia artificial, firmado en 2024","The manifesto by major music artists against the infringement of their rights by artificial intelligence, signed in 2024",NA,"De acuerdo","Agree",2
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"El manifiesto de importantes artistas musicales en contra de la vulneración de sus derechos por parte de la inteligencia artificial, firmado en 2024","The manifesto by major music artists against the infringement of their rights by artificial intelligence, signed in 2024",NA,"En desacuerdo","Disagree",4
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_1","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"El manifiesto de importantes artistas musicales en contra de la vulneración de sus derechos por parte de la inteligencia artificial, firmado en 2024","The manifesto by major music artists against the infringement of their rights by artificial intelligence, signed in 2024",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_2","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La aprobación de la Ley de inteligencia artificial de la Unión Europea, en 2024","The approval of the European Union Artificial Intelligence Act, in 2024",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_2","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La aprobación de la Ley de inteligencia artificial de la Unión Europea, en 2024","The approval of the European Union Artificial Intelligence Act, in 2024",NA,"De acuerdo","Agree",2
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_2","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La aprobación de la Ley de inteligencia artificial de la Unión Europea, en 2024","The approval of the European Union Artificial Intelligence Act, in 2024",NA,"En desacuerdo","Disagree",4
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_2","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La aprobación de la Ley de inteligencia artificial de la Unión Europea, en 2024","The approval of the European Union Artificial Intelligence Act, in 2024",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_3","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La solicitud que hicieron en 2023 expertos en inteligencia artificial y ejecutivos de la industria para pausar su desarrollo y pruebas","The request made in 2023 by artificial intelligence experts and industry executives to pause its development and testing",NA,"Muy de acuerdo","Strongly agree",1
"spain_2025_ai_eventsagree","spain_2025_ai_eventsagree_1","p18_2_3","CIS Estudio 3495, Inteligencia artificial (febrero 2025), P.18a: acuerdo con acontecimientos recientes sobre inteligencia artificial","Spanish","En general, ¿está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo?","In general, do you strongly agree, agree, disagree or strongly disagree?",NA,NA,"La solicitud que hicieron en 2023 expertos en inteligencia artificial y ejecutivos de la industria para pausar su desarrollo y pruebas","The request made in 2023 by artificial intelligence experts and industry executives to pause its development and testing",NA,"De acuerdo","Agree",2
