"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM1","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Tolerant",NA,"not at all",1
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM1","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Tolerant",NA,NA,2
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM1","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Tolerant",NA,NA,3
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM1","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Tolerant",NA,NA,4
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM1","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Tolerant",NA,"very much",5
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM2","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Warm",NA,"not at all",1
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM2","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Warm",NA,NA,2
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM2","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Warm",NA,NA,3
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM2","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Warm",NA,NA,4
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM2","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Warm",NA,"very much",5
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM3","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Sincere",NA,"not at all",1
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM3","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Sincere",NA,NA,2
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM3","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Sincere",NA,NA,3
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM3","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Sincere",NA,NA,4
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM3","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Sincere",NA,"very much",5
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM4","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Good natured",NA,"not at all",1
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM4","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Good natured",NA,NA,2
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM4","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Good natured",NA,NA,3
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM4","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Good natured",NA,NA,4
"kraft_todd_2017_warmth","kraft_todd_2017_warmth_1","WARM4","Warmth subscale of the warmth/competence scale (adapted from Fiske et al. 2002)","Please rate each of the following statements about the doctor on the scale from 0 (not at all) to 4 (very much). How much did the doctor seem to be______________",NA,"Good natured",NA,"very much",5
