"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_ppl","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should people rely on scientists’ guidance when making lifestyle choices related to science?",NA,"Not at all",1
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_ppl","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should people rely on scientists’ guidance when making lifestyle choices related to science?",NA,NA,2
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_ppl","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should people rely on scientists’ guidance when making lifestyle choices related to science?",NA,NA,3
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_ppl","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should people rely on scientists’ guidance when making lifestyle choices related to science?",NA,NA,4
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_ppl","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should people rely on scientists’ guidance when making lifestyle choices related to science?",NA,"Very strongly",5
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_gov","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should governments rely on scientists’ guidance when making decisions related to science?",NA,"Not at all",1
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_gov","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should governments rely on scientists’ guidance when making decisions related to science?",NA,NA,2
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_gov","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should governments rely on scientists’ guidance when making decisions related to science?",NA,NA,3
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_gov","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should governments rely on scientists’ guidance when making decisions related to science?",NA,NA,4
"mede_2025_willvul","mede_2025_willvul_1","WILLVUL_gov","Willingness to be vulnerable to scientists (TISP core questionnaire, block WILLVUL)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","We are now interested in your opinion about personal and political decisions related to science (e.g., on energy policy, health policy). Please answer the following three questions.",NA,"How much or little should governments rely on scientists’ guidance when making decisions related to science?",NA,"Very strongly",5
