"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,NA,4
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope1","State Hope Scale (SHS), 6 items","German",NA,NA,"Sollte ich mich in einer Zwickmühle befinden, würden mir viele Auswege einfallen.","If I should find myself in a jam, I could think of many ways to get out of it.",NA,"strongly agree",NA,6
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,NA,NA,4
