"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq1","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"My thoughts cause me distress or emotional pain",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq2","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get so caught up in my thoughts that I am unable to do the things that I most want to do",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq3","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having distressing thoughts, I know they may become less important eventually",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq4","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I over-analyse situations to the point where it's unhelpful to me",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq5","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I struggle with my thoughts",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq6","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"Even when I am having upsetting thoughts, I can see that those thoughts may not be literally true",NA,"always true",7
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"never true",1
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"very seldom true",2
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"seldom true",3
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"sometimes true",4
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"frequently true",5
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"almost always true",6
"esiason_2024_cfq","esiason_2024_cfq_1","cfq7","Cognitive Fusion Questionnaire (CFQ13)","Below you will find a list of statements. Please rate how true each statement is for you by circling a number next to it. Use the scale below to make your choice.",NA,"I get upset with myself for having certain thoughts",NA,"always true",7
