"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,"always",NA,1
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,NA,NA,2
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,NA,NA,3
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,NA,NA,4
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,NA,NA,5
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,NA,NA,6
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL1_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk bekerja atau belajar?","When you are bloated, how often does the bloating limit or restrict your ability to work or attend school?",NA,"never/not related to me",NA,7
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL2_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk mengambil bahagian dalam aktiviti sosial?","When you are bloated, how often does the bloating limit or restrict your ability to participate in social activities?",NA,"always",NA,1
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL2_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk mengambil bahagian dalam aktiviti sosial?","When you are bloated, how often does the bloating limit or restrict your ability to participate in social activities?",NA,NA,NA,2
"abdullah_2024_blqol","abdullah_2024_blqol_1","QOL2_R","Bloating Quality of Life questionnaire, Malay version (BLQoL-M)","Malay",NA,NA,NA,NA,"Apabila perut anda berasa kembung, berapa kerapkah ia mengehadkan keupayaan anda untuk mengambil bahagian dalam aktiviti sosial?","When you are bloated, how often does the bloating limit or restrict your ability to participate in social activities?",NA,NA,NA,3
