"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-1","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"In general, the relationship between department members is good.",NA,NA,1,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-1","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"In general, the relationship between department members is good.",NA,NA,2,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-1","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"In general, the relationship between department members is good.",NA,NA,3,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-1","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"In general, the relationship between department members is good.",NA,NA,4,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-1","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"In general, the relationship between department members is good.",NA,NA,5,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-2","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"The individuals in my department consistently demonstrate honesty and are reliable.",NA,NA,1,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-2","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"The individuals in my department consistently demonstrate honesty and are reliable.",NA,NA,2,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-2","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"The individuals in my department consistently demonstrate honesty and are reliable.",NA,NA,3,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-2","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"The individuals in my department consistently demonstrate honesty and are reliable.",NA,NA,4,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-2","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"The individuals in my department consistently demonstrate honesty and are reliable.",NA,NA,5,NA,NA,NA,NA
"ni_2025_relationship_network","ni_2025_relationship_network_1","SN1-3","Relationship network scale (8 items, referring to West & Bogers)","Chinese",NA,NA,"Those in my department display a high level of ethical behavior.",NA,NA,1,NA,NA,NA,NA
