"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"knight_2026_crt","knight_2026_crt_1","CRT1","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"A cookie and a coffee cost $2.20 in total. The coffee costs two dollars more than the cookie. How much does the cookie cost (in cents)?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT1","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"A cookie and a coffee cost $2.20 in total. The coffee costs two dollars more than the cookie. How much does the cookie cost (in cents)?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT2","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"If it takes 30 chickens 30 minutes to lay 30 eggs, how long would it take 500 chickens to lay 500 eggs (in minutes)?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT2","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"If it takes 30 chickens 30 minutes to lay 30 eggs, how long would it take 500 chickens to lay 500 eggs (in minutes)?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT3","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"In a forest, there is a patch of moss. Every day, the patch doubles in size. If it takes 80 days for the patch to cover the entire forest, how long would it take for the patch to cover half of the forest (in days)?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT3","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"In a forest, there is a patch of moss. Every day, the patch doubles in size. If it takes 80 days for the patch to cover the entire forest, how long would it take for the patch to cover half of the forest (in days)?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT4","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together (in days)?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT4","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together (in days)?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT5","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"Jerry received both the 15th highest and the 15th lowest mark in the class. How many students are in the class?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT5","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"Jerry received both the 15th highest and the 15th lowest mark in the class. How many students are in the class?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT6","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made (in dollars)?",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT6","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made (in dollars)?",1,"Correct",1
"knight_2026_crt","knight_2026_crt_1","CRT7","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"Simon decided to invest $8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point, Simon has:",1,"Incorrect",0
"knight_2026_crt","knight_2026_crt_1","CRT7","Cognitive Reflection Test (7-item)","In this portion of the study, you will be asked to answer a total of seven questions. You will receive $1.00 for every question that you answer correctly.",NA,"Simon decided to invest $8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point, Simon has:",1,"Correct",1
