"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU01","Sustained agile usage (SAU)",NA,NA,"Our team always makes the best use of Agile in all software development activities.",NA,"Strongly Disagree",1
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU01","Sustained agile usage (SAU)",NA,NA,"Our team always makes the best use of Agile in all software development activities.",NA,NA,2
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU01","Sustained agile usage (SAU)",NA,NA,"Our team always makes the best use of Agile in all software development activities.",NA,NA,3
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU01","Sustained agile usage (SAU)",NA,NA,"Our team always makes the best use of Agile in all software development activities.",NA,NA,4
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU01","Sustained agile usage (SAU)",NA,NA,"Our team always makes the best use of Agile in all software development activities.",NA,"Strongly Agree",5
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU02","Sustained agile usage (SAU)",NA,NA,"Our team always accurately estimates the optimal number of tasks that can be accomplished within a sprint.",NA,"Strongly Disagree",1
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU02","Sustained agile usage (SAU)",NA,NA,"Our team always accurately estimates the optimal number of tasks that can be accomplished within a sprint.",NA,NA,2
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU02","Sustained agile usage (SAU)",NA,NA,"Our team always accurately estimates the optimal number of tasks that can be accomplished within a sprint.",NA,NA,3
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU02","Sustained agile usage (SAU)",NA,NA,"Our team always accurately estimates the optimal number of tasks that can be accomplished within a sprint.",NA,NA,4
"wijesinghe_2025_sustained_agile_usage","wijesinghe_2025_sustained_agile_usage_1","SAU02","Sustained agile usage (SAU)",NA,NA,"Our team always accurately estimates the optimal number of tasks that can be accomplished within a sprint.",NA,"Strongly Agree",5
