"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,"strongly disagree",1,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,NA,2,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,NA,3,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,"neutral",4,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,NA,5,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,NA,6,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ1_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",NA,"strongly agree",7,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,"strongly disagree",1,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,NA,2,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,NA,3,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,"neutral",4,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,NA,5,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,NA,6,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ2_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"I keep my emotions to myself.",NA,"strongly agree",7,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ3_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",NA,"strongly disagree",1,NA,NA,NA,NA
"moe2025_erq","moe2025_erq_1","ERQ3_pre","Emotion Regulation Questionnaire (ERQ)","Italian","We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways. For each item, please answer using the following scale:",NA,"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",NA,NA,2,NA,NA,NA,NA
