"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"sv-maia2_randelovic_2021_maia","main","MAIA2_12","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako osetim bilo kakvu nelagodnost, počinjem da brinem da nešto nije u redu.","","NA","2","","","When I feel any discomfort, I start to worry that something is wrong.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_12","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako osetim bilo kakvu nelagodnost, počinjem da brinem da nešto nije u redu.","","NA","4","","","When I feel any discomfort, I start to worry that something is wrong.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_12","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako osetim bilo kakvu nelagodnost, počinjem da brinem da nešto nije u redu.","","NA","1","","","When I feel any discomfort, I start to worry that something is wrong.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_12","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako osetim bilo kakvu nelagodnost, počinjem da brinem da nešto nije u redu.","","NA","3","","","When I feel any discomfort, I start to worry that something is wrong.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_19","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako sam ometen/a, mogu ponovo da usmerim svest na svoje telo.","","NA","1","","","When I am distracted, I can bring my awareness back to my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_19","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako sam ometen/a, mogu ponovo da usmerim svest na svoje telo.","","NA","2","","","When I am distracted, I can bring my awareness back to my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_19","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako sam ometen/a, mogu ponovo da usmerim svest na svoje telo.","","NA","3","","","When I am distracted, I can bring my awareness back to my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_19","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ako sam ometen/a, mogu ponovo da usmerim svest na svoje telo.","","NA","4","","","When I am distracted, I can bring my awareness back to my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_9","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Guram od sebe osećaj nelagode tako što se fokusiram na nešto.","","NA","2","","","I push feelings of discomfort away by focusing on something.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_9","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Guram od sebe osećaj nelagode tako što se fokusiram na nešto.","","NA","4","","","I push feelings of discomfort away by focusing on something.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_9","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Guram od sebe osećaj nelagode tako što se fokusiram na nešto.","","NA","1","","","I push feelings of discomfort away by focusing on something.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_9","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Guram od sebe osećaj nelagode tako što se fokusiram na nešto.","","NA","3","","","I push feelings of discomfort away by focusing on something.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_5","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ignorišem fizičke napetosti ili nelagodnosti dok ne postanu ozbiljnije.","","NA","3","","","I ignore physical tension or discomfort until it becomes more serious.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_5","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ignorišem fizičke napetosti ili nelagodnosti dok ne postanu ozbiljnije.","","NA","1","","","I ignore physical tension or discomfort until it becomes more serious.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_5","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ignorišem fizičke napetosti ili nelagodnosti dok ne postanu ozbiljnije.","","NA","4","","","I ignore physical tension or discomfort until it becomes more serious.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_5","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Ignorišem fizičke napetosti ili nelagodnosti dok ne postanu ozbiljnije.","","NA","2","","","I ignore physical tension or discomfort until it becomes more serious.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_10","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kad osetim neprijatne telesne senzacije, okupiram sebe nečim drugim da ne bih morao/la da ih osećam.","","NA","1","","","When I feel unpleasant body sensations, I occupy myself with something else so I do not have to feel them.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_10","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kad osetim neprijatne telesne senzacije, okupiram sebe nečim drugim da ne bih morao/la da ih osećam.","","NA","2","","","When I feel unpleasant body sensations, I occupy myself with something else so I do not have to feel them.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_10","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kad osetim neprijatne telesne senzacije, okupiram sebe nečim drugim da ne bih morao/la da ih osećam.","","NA","4","","","When I feel unpleasant body sensations, I occupy myself with something else so I do not have to feel them.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_10","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kad osetim neprijatne telesne senzacije, okupiram sebe nečim drugim da ne bih morao/la da ih osećam.","","NA","3","","","When I feel unpleasant body sensations, I occupy myself with something else so I do not have to feel them.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_15","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada mi je nelagodno ili me nešto boli, to ne mogu da izbacim iz glave.","","NA","2","","","When I am uncomfortable or in pain, I cannot get it out of my mind.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_15","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada mi je nelagodno ili me nešto boli, to ne mogu da izbacim iz glave.","","NA","4","","","When I am uncomfortable or in pain, I cannot get it out of my mind.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_15","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada mi je nelagodno ili me nešto boli, to ne mogu da izbacim iz glave.","","NA","1","","","When I am uncomfortable or in pain, I cannot get it out of my mind.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_15","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada mi je nelagodno ili me nešto boli, to ne mogu da izbacim iz glave.","","NA","3","","","When I am uncomfortable or in pain, I cannot get it out of my mind.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_24","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada nešto nije u redu u mom životu, mogu to da osetim u svom telu.","","NA","2","","","When something is wrong in my life, I can feel it in my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_24","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada nešto nije u redu u mom životu, mogu to da osetim u svom telu.","","NA","1","","","When something is wrong in my life, I can feel it in my body.",""
"sv-maia2_randelovic_2021_maia","main","MAIA2_24","interoceptive awareness","Serbian","U nastavku je niz tvrdnji. Molimo Vas da označite koliko često se svaka od njih uopšteno odnosi na Vas u svakodnevnom životu. Označite po jedan broj u svakom redu.","NA","Kada nešto nije u redu u mom životu, mogu to da osetim u svom telu.","","NA","3","","","When something is wrong in my life, I can feel it in my body.",""
