"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.1","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.","In uncertain times, I usually expect the best.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,NA,NA,5
