"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,"not at all",NA,1
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,2
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,3
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,4
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,5
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,6
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,7
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,8
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,9
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,10
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,11
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,12
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,13
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,14
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,15
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,16
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,17
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,18
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,NA,NA,19
"thomeczek2025_les","thomeczek2025_les_1","antielitism","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"Some parties have a strong anti-establishment or anti-elitist position. In your opinion, how strongly do these parties hold this view?",NA,NA,"very strongly",NA,20
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,"assimilation",NA,1
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,2
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,3
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,4
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,5
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,6
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,7
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,8
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,9
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,10
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,11
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,12
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,13
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,14
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,15
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,16
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,17
"thomeczek2025_les","thomeczek2025_les_1","assimilation","Länder Expert Survey (LES) 2025: Hamburg","German",NA,NA,NA,NA,"In integration policy, there is a contrast between the following positions: Migrants are obliged to adapt to a uniform German majority culture and language (assimilation) versus migrants have the right to maintain their culture and language of origin and to contribute to a culturally diverse German society (multiculturalism). Where do the parties stand?",NA,NA,NA,NA,18
