"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","language"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa1","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Ludzie powinni kierować się własnymi standardami w ocenianiu tego, co moralne i co niemoralne, a w mniejszym stopniu kierować się wskazaniami Biblii czy podobnych tradycyjnych tekstów.",NA,NA,1,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa1","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Ludzie powinni kierować się własnymi standardami w ocenianiu tego, co moralne i co niemoralne, a w mniejszym stopniu kierować się wskazaniami Biblii czy podobnych tradycyjnych tekstów.",NA,NA,2,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa1","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Ludzie powinni kierować się własnymi standardami w ocenianiu tego, co moralne i co niemoralne, a w mniejszym stopniu kierować się wskazaniami Biblii czy podobnych tradycyjnych tekstów.",NA,NA,3,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa1","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Ludzie powinni kierować się własnymi standardami w ocenianiu tego, co moralne i co niemoralne, a w mniejszym stopniu kierować się wskazaniami Biblii czy podobnych tradycyjnych tekstów.",NA,NA,4,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa1","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Ludzie powinni kierować się własnymi standardami w ocenianiu tego, co moralne i co niemoralne, a w mniejszym stopniu kierować się wskazaniami Biblii czy podobnych tradycyjnych tekstów.",NA,NA,5,"People should develop their own personal standards about good and evil and pay less attention to the Bible and other old, traditional forms of religious guidance","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa2","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To czego naprawdę potrzebuje nasz kraj zamiast „praw obywatelskich”, to solidna dawka prawdziwego prawa i porządku.",NA,NA,1,"What our country really needs instead of more “civil rights” is a good stiff dose of law and order.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa2","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To czego naprawdę potrzebuje nasz kraj zamiast „praw obywatelskich”, to solidna dawka prawdziwego prawa i porządku.",NA,NA,2,"What our country really needs instead of more “civil rights” is a good stiff dose of law and order.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa2","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To czego naprawdę potrzebuje nasz kraj zamiast „praw obywatelskich”, to solidna dawka prawdziwego prawa i porządku.",NA,NA,3,"What our country really needs instead of more “civil rights” is a good stiff dose of law and order.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa2","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To czego naprawdę potrzebuje nasz kraj zamiast „praw obywatelskich”, to solidna dawka prawdziwego prawa i porządku.",NA,NA,4,"What our country really needs instead of more “civil rights” is a good stiff dose of law and order.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa2","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To czego naprawdę potrzebuje nasz kraj zamiast „praw obywatelskich”, to solidna dawka prawdziwego prawa i porządku.",NA,NA,5,"What our country really needs instead of more “civil rights” is a good stiff dose of law and order.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa3","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Miejsce kobiety powinno być tam, gdzie ona sama zechce, aby było. Podległość kobiet wobec mężczyzn i oczekiwań społecznych to przeszłość.",NA,NA,1,"The days when women are submissive should belong strictly in the past. A “woman’s place” in society should be wherever she wants to be.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa3","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Miejsce kobiety powinno być tam, gdzie ona sama zechce, aby było. Podległość kobiet wobec mężczyzn i oczekiwań społecznych to przeszłość.",NA,NA,2,"The days when women are submissive should belong strictly in the past. A “woman’s place” in society should be wherever she wants to be.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa3","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Miejsce kobiety powinno być tam, gdzie ona sama zechce, aby było. Podległość kobiet wobec mężczyzn i oczekiwań społecznych to przeszłość.",NA,NA,3,"The days when women are submissive should belong strictly in the past. A “woman’s place” in society should be wherever she wants to be.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa3","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Miejsce kobiety powinno być tam, gdzie ona sama zechce, aby było. Podległość kobiet wobec mężczyzn i oczekiwań społecznych to przeszłość.",NA,NA,4,"The days when women are submissive should belong strictly in the past. A “woman’s place” in society should be wherever she wants to be.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa3","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Miejsce kobiety powinno być tam, gdzie ona sama zechce, aby było. Podległość kobiet wobec mężczyzn i oczekiwań społecznych to przeszłość.",NA,NA,5,"The days when women are submissive should belong strictly in the past. A “woman’s place” in society should be wherever she wants to be.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa4","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Odwracanie się od tradycji pewnego dnia okaże się fatalne w skutkach.",NA,NA,1,"The withdrawal from tradition will turn out to be a fatal fault one day.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa4","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Odwracanie się od tradycji pewnego dnia okaże się fatalne w skutkach.",NA,NA,2,"The withdrawal from tradition will turn out to be a fatal fault one day.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa4","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Odwracanie się od tradycji pewnego dnia okaże się fatalne w skutkach.",NA,NA,3,"The withdrawal from tradition will turn out to be a fatal fault one day.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa4","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Odwracanie się od tradycji pewnego dnia okaże się fatalne w skutkach.",NA,NA,4,"The withdrawal from tradition will turn out to be a fatal fault one day.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa4","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Odwracanie się od tradycji pewnego dnia okaże się fatalne w skutkach.",NA,NA,5,"The withdrawal from tradition will turn out to be a fatal fault one day.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa5","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Nie ma takiej zbrodni, która usprawiedliwiałaby stosowanie kary śmierci.",NA,NA,1,"There is no such crime to justify capital punishment.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa5","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Nie ma takiej zbrodni, która usprawiedliwiałaby stosowanie kary śmierci.",NA,NA,2,"There is no such crime to justify capital punishment.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa5","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Nie ma takiej zbrodni, która usprawiedliwiałaby stosowanie kary śmierci.",NA,NA,3,"There is no such crime to justify capital punishment.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa5","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Nie ma takiej zbrodni, która usprawiedliwiałaby stosowanie kary śmierci.",NA,NA,4,"There is no such crime to justify capital punishment.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa5","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Nie ma takiej zbrodni, która usprawiedliwiałaby stosowanie kary śmierci.",NA,NA,5,"There is no such crime to justify capital punishment.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa6","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Posłuszeństwo i szacunek dla autorytetów to najważniejsze wartości, jakich powinny nauczyć się dzieci.",NA,NA,1,"Obedience and respect for authority are the most important values children should learn.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa6","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Posłuszeństwo i szacunek dla autorytetów to najważniejsze wartości, jakich powinny nauczyć się dzieci.",NA,NA,2,"Obedience and respect for authority are the most important values children should learn.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa6","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Posłuszeństwo i szacunek dla autorytetów to najważniejsze wartości, jakich powinny nauczyć się dzieci.",NA,NA,3,"Obedience and respect for authority are the most important values children should learn.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa6","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Posłuszeństwo i szacunek dla autorytetów to najważniejsze wartości, jakich powinny nauczyć się dzieci.",NA,NA,4,"Obedience and respect for authority are the most important values children should learn.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa6","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Posłuszeństwo i szacunek dla autorytetów to najważniejsze wartości, jakich powinny nauczyć się dzieci.",NA,NA,5,"Obedience and respect for authority are the most important values children should learn.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa7","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Stałe związki homoseksualne powinny być traktowane na równi z małżeństwami.",NA,NA,1,"Homosexual long-term relationships should be treated as equivalent to marriage.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa7","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Stałe związki homoseksualne powinny być traktowane na równi z małżeństwami.",NA,NA,2,"Homosexual long-term relationships should be treated as equivalent to marriage.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa7","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Stałe związki homoseksualne powinny być traktowane na równi z małżeństwami.",NA,NA,3,"Homosexual long-term relationships should be treated as equivalent to marriage.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa7","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Stałe związki homoseksualne powinny być traktowane na równi z małżeństwami.",NA,NA,4,"Homosexual long-term relationships should be treated as equivalent to marriage.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa7","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"Stałe związki homoseksualne powinny być traktowane na równi z małżeństwami.",NA,NA,5,"Homosexual long-term relationships should be treated as equivalent to marriage.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa8","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To, czego naprawdę potrzebuje nasz kraj, to silny, zdecydowany przywódca, który pokona zło i wskaże nam właściwą drogę.",NA,NA,1,"What our country really needs is a strong, determined Chancellor which will crush the evil and set us on our right way again.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa8","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To, czego naprawdę potrzebuje nasz kraj, to silny, zdecydowany przywódca, który pokona zło i wskaże nam właściwą drogę.",NA,NA,2,"What our country really needs is a strong, determined Chancellor which will crush the evil and set us on our right way again.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa8","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To, czego naprawdę potrzebuje nasz kraj, to silny, zdecydowany przywódca, który pokona zło i wskaże nam właściwą drogę.",NA,NA,3,"What our country really needs is a strong, determined Chancellor which will crush the evil and set us on our right way again.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa8","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To, czego naprawdę potrzebuje nasz kraj, to silny, zdecydowany przywódca, który pokona zło i wskaże nam właściwą drogę.",NA,NA,4,"What our country really needs is a strong, determined Chancellor which will crush the evil and set us on our right way again.","Polish"
"lys_2020_rape_3_rwa","lys_2020_rape_3_rwa_1","rwa8","Right-Wing Authoritarianism scale (Funke 2005; Polish adaptation Grzesiak-Feldman 2012)",NA,NA,"To, czego naprawdę potrzebuje nasz kraj, to silny, zdecydowany przywódca, który pokona zło i wskaże nam właściwą drogę.",NA,NA,5,"What our country really needs is a strong, determined Chancellor which will crush the evil and set us on our right way again.","Polish"
