table,section_id,item,instrument,instructions,section_prompt,item_text,correct_response,option_text,resp
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_01,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Conozco el programa de asignatura que provee información sobre las actividades de Práctica Profesional.,,Strongly Disagree,1
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_01,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Conozco el programa de asignatura que provee información sobre las actividades de Práctica Profesional.,,Disagree,2
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_01,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Conozco el programa de asignatura que provee información sobre las actividades de Práctica Profesional.,,Positive,3
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_01,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Conozco el programa de asignatura que provee información sobre las actividades de Práctica Profesional.,,Agree,4
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_01,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Conozco el programa de asignatura que provee información sobre las actividades de Práctica Profesional.,,Strongly Agree,5
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_02,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Mi(s) tutor(es) establece(n) expectativas claras sobre lo que esperan de mi desempeño.,,Strongly Disagree,1
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_02,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Mi(s) tutor(es) establece(n) expectativas claras sobre lo que esperan de mi desempeño.,,Disagree,2
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_02,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Mi(s) tutor(es) establece(n) expectativas claras sobre lo que esperan de mi desempeño.,,Positive,3
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_02,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Mi(s) tutor(es) establece(n) expectativas claras sobre lo que esperan de mi desempeño.,,Agree,4
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_02,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Mi(s) tutor(es) establece(n) expectativas claras sobre lo que esperan de mi desempeño.,,Strongly Agree,5
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_03,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Tengo el tiempo suficiente para preparar mis actividades académicas.,,Strongly Disagree,1
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_03,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Tengo el tiempo suficiente para preparar mis actividades académicas.,,Disagree,2
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_03,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Tengo el tiempo suficiente para preparar mis actividades académicas.,,Positive,3
cordova2019_clinical_edu_environment,cordova2019_clinical_edu_environment_1,item_03,"Postgraduate Hospital Educational Environment Measure (PHEEM), Spanish version adapted for physiotherapy interns (Cordova-Leon, Fernandez-Huerta & Rojas-Vargas, 2019) -- dictionary Description says 'DREEM-based' but this is PHEEM, a related but distinct Roff-family environment measure; worth correcting.",,,Tengo el tiempo suficiente para preparar mis actividades académicas.,,Agree,4
