"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"buzgova_2023_soc","buzgova_2023_soc_1","soc7","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Doing the things you do every day is:",NA,"A source of deep pleasure and satisfaction",7,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc7","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Doing the things you do every day is:",NA,"A source of pain and boredom",1,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc2","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Has it happened in the past that you were surprised by the behaviour of people whom you thought you knew well?",NA,"Always happened",1,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc3","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Has it happened that people whom you counted on disappointed you?",NA,"Always happened",1,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc1","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Do you have the feeling that you don't really care about what goes on around you?",NA,NA,4,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc1","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Do you have the feeling that you don't really care about what goes on around you?",NA,NA,6,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc1","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Do you have the feeling that you don't really care about what goes on around you?",NA,NA,2,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc1","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Do you have the feeling that you don't really care about what goes on around you?",NA,NA,3,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc1","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Do you have the feeling that you don't really care about what goes on around you?",NA,NA,5,NA,NA,NA,NA
"buzgova_2023_soc","buzgova_2023_soc_1","soc10","Sense of Coherence Scale, 13-item short form (SOC-13; Antonovsky's Orientation to Life Questionnaire)","Czech",NA,NA,"Many people - even those with a strong character - sometimes feel like sad sacks (losers) in certain situations. How often have you felt this way in the past?",NA,NA,6,NA,NA,NA,NA
