"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.1","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Ervaart u in het dagelijks leven problemen met uw zicht?","Do you experience problems with your eyesight in daily life?",NA,"Nee/nauwelijks","No/Hardly ever",0
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.1","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Ervaart u in het dagelijks leven problemen met uw zicht?","Do you experience problems with your eyesight in daily life?",NA,"Soms","Sometimes",1
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.1","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Ervaart u in het dagelijks leven problemen met uw zicht?","Do you experience problems with your eyesight in daily life?",NA,"Vaak/altijd","Often/Always",2
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.2","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u de indruk dat u minder scherp bent gaan zien?","Do you have the impression that your vision has become less clear?",NA,"Nee/nauwelijks","No/Hardly ever",0
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.2","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u de indruk dat u minder scherp bent gaan zien?","Do you have the impression that your vision has become less clear?",NA,"Soms","Sometimes",1
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.2","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u de indruk dat u minder scherp bent gaan zien?","Do you have the impression that your vision has become less clear?",NA,"Vaak/altijd","Often/Always",2
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.3","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u moeite met scherpstellen of duurt het langer voordat u een scherp beeld heeft?","Do you have trouble focusing or does it take longer before things are in focus?",NA,"Nee/nauwelijks","No/Hardly ever",0
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.3","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u moeite met scherpstellen of duurt het langer voordat u een scherp beeld heeft?","Do you have trouble focusing or does it take longer before things are in focus?",NA,"Soms","Sometimes",1
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.3","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u moeite met scherpstellen of duurt het langer voordat u een scherp beeld heeft?","Do you have trouble focusing or does it take longer before things are in focus?",NA,"Vaak/altijd","Often/Always",2
"neurodegenerative_huizinga_2019_svc","neurodegenerative_huizinga_2019_svc_1","SVK.4","Screening Visuele Klachten (SVK) / Screening of Visual Complaints (SVC)","Dutch","Dit is een vragenlijst met uitspraken over problemen die met uw zicht te maken hebben. Als u een bril of contactlenzen heeft, ga er dan bij de beantwoording van de vragen vanuit dat u deze draagt. Elke vraag heeft meerdere antwoordmogelijkheden. Kies het antwoord dat het meest op u van toepassing is. Het gaat daarbij steeds om de afgelopen weken. Als u niet zeker weet welk antwoord u moet kiezen, geef dan het best passende antwoord. Kruis bij alle volgende vragen s.v.p. 1 antwoord aan. Er zijn in totaal 3 pagina’s.","The following list of questions concerns problems that you may have with your eyesight. If you wear glasses or contact lenses, please assume that you are wearing these when you answer the questions. Each question has several possible answers. Please choose the answer that is most appropriate to your situation as it has been over the past weeks. If you are not certain, please choose the answer that best reflects your situation. Please choose 1 answer for each of the following questions. The questionnaire consists of 3 pages.",NA,"Heeft u last van dubbelzien of dubbelbeelden?","Do you have double vision or see double images?",NA,"Nee/nauwelijks","No/Hardly ever",0
