"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"isi_insomnia_wang2025","main","ISI_5","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我认为自己的睡眠问题在多大程度上干扰了日常表现(如学习效率、注意力、记忆力、情绪等):","","A Little","1","","","To what extent do I think my sleep problem interferes with my daily performance (e.g. study efficiency, attention, memory, mood, etc.):",""
"isi_insomnia_wang2025","main","ISI_5","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我认为自己的睡眠问题在多大程度上干扰了日常表现(如学习效率、注意力、记忆力、情绪等):","","Very interfering","4","","","To what extent do I think my sleep problem interferes with my daily performance (e.g. study efficiency, attention, memory, mood, etc.):",""
"isi_insomnia_wang2025","main","ISI_5","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我认为自己的睡眠问题在多大程度上干扰了日常表现(如学习效率、注意力、记忆力、情绪等):","","Much","3","","","To what extent do I think my sleep problem interferes with my daily performance (e.g. study efficiency, attention, memory, mood, etc.):",""
"isi_insomnia_wang2025","main","ISI_5","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我认为自己的睡眠问题在多大程度上干扰了日常表现(如学习效率、注意力、记忆力、情绪等):","","Not at all interfering","0","","","To what extent do I think my sleep problem interferes with my daily performance (e.g. study efficiency, attention, memory, mood, etc.):",""
"isi_insomnia_wang2025","main","ISI_5","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我认为自己的睡眠问题在多大程度上干扰了日常表现(如学习效率、注意力、记忆力、情绪等):","","Somewhat","2","","","To what extent do I think my sleep problem interferes with my daily performance (e.g. study efficiency, attention, memory, mood, etc.):",""
"isi_insomnia_wang2025","main","ISI_7","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我对自己当前睡眠问题有多大程度的担心和痛苦:","","A Little","1","","","How worried and distressed am I about my current sleep problem:",""
"isi_insomnia_wang2025","main","ISI_7","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我对自己当前睡眠问题有多大程度的担心和痛苦:","","Not at all Worried","0","","","How worried and distressed am I about my current sleep problem:",""
"isi_insomnia_wang2025","main","ISI_7","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我对自己当前睡眠问题有多大程度的担心和痛苦:","","Much","3","","","How worried and distressed am I about my current sleep problem:",""
"isi_insomnia_wang2025","main","ISI_7","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我对自己当前睡眠问题有多大程度的担心和痛苦:","","Somewhat","2","","","How worried and distressed am I about my current sleep problem:",""
"isi_insomnia_wang2025","main","ISI_7","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我对自己当前睡眠问题有多大程度的担心和痛苦:","","Very Worried","4","","","How worried and distressed am I about my current sleep problem:",""
"isi_insomnia_wang2025","main","ISI_6","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","在别人眼中，我的睡眠状况情况对我的生活质量有多大程度的负面影响:","","Not at all noticeable","0","","","In other people's eyes, how negatively does my sleep affect my quality of life:",""
"isi_insomnia_wang2025","main","ISI_6","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","在别人眼中，我的睡眠状况情况对我的生活质量有多大程度的负面影响:","","Somewhat","2","","","In other people's eyes, how negatively does my sleep affect my quality of life:",""
"isi_insomnia_wang2025","main","ISI_6","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","在别人眼中，我的睡眠状况情况对我的生活质量有多大程度的负面影响:","","A Little","1","","","In other people's eyes, how negatively does my sleep affect my quality of life:",""
"isi_insomnia_wang2025","main","ISI_6","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","在别人眼中，我的睡眠状况情况对我的生活质量有多大程度的负面影响:","","Much","3","","","In other people's eyes, how negatively does my sleep affect my quality of life:",""
"isi_insomnia_wang2025","main","ISI_6","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","在别人眼中，我的睡眠状况情况对我的生活质量有多大程度的负面影响:","","Very noticeable","4","","","In other people's eyes, how negatively does my sleep affect my quality of life:",""
"isi_insomnia_wang2025","main","ISI_1","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我上床后半小时内很难睡着。","","None","0","","","I find it hard to fall asleep within half an hour of going to bed.",""
"isi_insomnia_wang2025","main","ISI_1","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我上床后半小时内很难睡着。","","Mild","1","","","I find it hard to fall asleep within half an hour of going to bed.",""
"isi_insomnia_wang2025","main","ISI_1","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我上床后半小时内很难睡着。","","Very Severe","4","","","I find it hard to fall asleep within half an hour of going to bed.",""
"isi_insomnia_wang2025","main","ISI_1","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我上床后半小时内很难睡着。","","Moderate","2","","","I find it hard to fall asleep within half an hour of going to bed.",""
"isi_insomnia_wang2025","main","ISI_1","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我上床后半小时内很难睡着。","","Severe","3","","","I find it hard to fall asleep within half an hour of going to bed.",""
"isi_insomnia_wang2025","main","ISI_2","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我夜里常常不止醒来一次。","","Mild","1","","","I often wake more than once during the night.",""
"isi_insomnia_wang2025","main","ISI_2","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我夜里常常不止醒来一次。","","None","0","","","I often wake more than once during the night.",""
"isi_insomnia_wang2025","main","ISI_2","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我夜里常常不止醒来一次。","","Very Severe","4","","","I often wake more than once during the night.",""
"isi_insomnia_wang2025","main","ISI_2","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我夜里常常不止醒来一次。","","Moderate","2","","","I often wake more than once during the night.",""
"isi_insomnia_wang2025","main","ISI_2","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我夜里常常不止醒来一次。","","Severe","3","","","I often wake more than once during the night.",""
"isi_insomnia_wang2025","main","ISI_3","The Insomnia Severity Index (ISI)","Chinese","rate each item based on your experiences over the past two weeks","NA","我早晨醒的很早却无法再次入睡。","","Mild","1","","","I wake very early in the morning and cannot get back to sleep.",""
