"table","section_id","item","item_text","correct_response","instrument","language","instructions","section_prompt","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98a","El alumbrado público ilumina bien las calles y áreas públicas (sirven los focos)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"Sí",1,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"Street lighting properly lights the streets and public areas (the bulbs work)","Yes"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98a","El alumbrado público ilumina bien las calles y áreas públicas (sirven los focos)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"No",2,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"Street lighting properly lights the streets and public areas (the bulbs work)","No"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98b","Hay escuelas o bibliotecas públicas cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"Sí",1,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are public schools or libraries nearby (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98b","Hay escuelas o bibliotecas públicas cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"No",2,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are public schools or libraries nearby (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98c","Hay centros médicos cercanos (hospitales, clínicas o centros de atención a adicciones) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"Sí",1,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are medical centers nearby (hospitals, clinics or addiction treatment centers) (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98c","Hay centros médicos cercanos (hospitales, clínicas o centros de atención a adicciones) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"No",2,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are medical centers nearby (hospitals, clinics or addiction treatment centers) (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98d","Hay guarderías o estancias infantiles cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"Sí",1,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are daycare centers or child care facilities nearby (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98d","Hay guarderías o estancias infantiles cercanas (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"No",2,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are daycare centers or child care facilities nearby (Nearby means within a 15-minute walk)","No"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98e","Hay lugares de esparcimiento cercanos (plazas públicas, parques o jardines) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"Sí",1,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are recreational places nearby (public squares, parks or gardens) (Nearby means within a 15-minute walk)","Yes"
"mexico_2023_mobility_community","mexico_2023_mobility_community_1","p98e","Hay lugares de esparcimiento cercanos (plazas públicas, parques o jardines) (Cercano implica a 15 minutos caminando)",NA,"ESRU-EMOVI 2023 (Encuesta ESRU de Movilidad Social en México), Servicios públicos, pregunta 98","Spanish","Ahora quisiera saber cómo percibe usted las condiciones de la colonia o barrio, así como los servicios públicos que hay. ¿En la colonia o barrio donde usted vive actualmente…?",NA,"No",2,"Now I would like to know how you perceive the conditions of your neighborhood, as well as the public services there. In the neighborhood where you currently live…?",NA,"There are recreational places nearby (public squares, parks or gardens) (Nearby means within a 15-minute walk)","No"
