"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,"not at all",NA,0
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,1
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,2
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,3
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,4
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,5
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,NA,NA,6
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_1","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Ethical",NA,NA,"very much so",NA,7
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,"not at all",NA,0
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,1
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,2
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,3
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,4
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,5
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,NA,NA,6
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_2","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Respectable",NA,NA,"very much so",NA,7
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,"not at all",NA,0
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,1
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,2
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,3
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,4
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,5
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,NA,NA,6
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_3","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Has integrity",NA,NA,"very much so",NA,7
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,"not at all",NA,0
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,NA,NA,1
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,NA,NA,2
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,NA,NA,3
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,NA,NA,4
"komura_2026_mdmt_ethical","komura_2026_mdmt_ethical_1","mdmt_ethical_4","Multi-Dimensional Measure of Trust (MDMT), Ethical subscale","Japanese","In this section, we evaluate trust in the AI you used for brainstorming. Please evaluate the following items on a scale from 0 (not at all) to 7 (very much so).",NA,NA,NA,"Honest/upright",NA,NA,NA,NA,5
