table,note
KTEEM_Schoen_2019-2022,"BLOCKED on instrument rights (batch_067, 2026-09-08); no KTEEM_Schoen_2019-2022__items.csv written. GROUND TRUTH (table_sets.R, server-side, no export): 87,404 rows, 35 items (CCMI_3, CMMI_2, CMMI_4, EE_1, EE_2, ES_2, ES_3, ES_5, ES_7, ISS_1..ISS_7, LG_1, LG_2, LG_4, LG_5, MSWP_1..3, NPT_1, NPT_12, NPT_14, NPT_15, PO_2, PO_3, PO_7, PO_9, RPD_4, RPD_5, RPD_6, SMW_6), resp set {0,1}. STEP 3b CLEAN: the table is the K-TEEM (Knowledge for Teaching Early Elementary Mathematics) test itself, not a co-administered measure. data/KTEEM_Schoen_2019-2022.R rbinds five Qualtrics clean-data files (2019 first admin, 2019 second admin, 2020, 2021, 2022) and pivots the item columns verbatim, so item IS the source column name -- no positional rename, no derivation step. The OSF deposit's own data dictionary (FS K-TEEM 2019 First Administration Data Dictionary.xlsx, osf.io/download/ap5xy/) and Test Blueprint (K-TEEM Test Blueprints 2019-2022-2.pdf, osf.io/download/5p3dq/) confirm every one of the 35 codes and its test-form position across all four forms (e.g. RPD_6 = KCS.RPD.6 = form item #1; PO_3/LG_4/ISS_7 added in 2021; ISS_1 dropped after 2020, which is exactly why ISS_1 has n=1489 and PO_3 n=651 in the live per-item counts). QUOTED RESTRICTIONS from the rights holder. (a) Schoen Research, the K-TEEM distributor (https://www.schoenresearch.com/products/assessment-resources/, fetched 2026-09-08): ""These assessment resources can be made available for use in research or evaluation. Inquiries should be directed to Robert Schoen.""; ""Copyright 2023, Schoen Research. All rights reserved.""; and, decisively, ""Other reports---the ones focused on assessments with correct or incorrect answers---are redacted to maintain security of the items so that they may remain valid for use in future studies."" The K-TEEM is precisely such a correct/incorrect assessment (live resp set is {0,1}), so the rights holder states an affirmative policy of withholding these items. (b) The only publication that ever reproduced K-TEEM wording, Schoen, Yang, Tazaz, Bray & Farina (2019), FSU Research Report 2019-01 (ERIC ED603422, cached), states on its front matter: ""Copyright 2019, Florida State University. All rights reserved. Requests for permission to use the K-TEEM should be directed to Robert Schoen, rschoen@lsi.fsu.edu, FSU Learning Systems Institute..."". That is a permission gate on use plus an express reservation of rights, the free-but-restricted / permission-required shape ruled on for TIMSS, PROMIS, HEXACO (irw#1945, 2026-09-05) and the DSES (2026-09-04). Under those rulings a stated use restriction from the rights holder overrides the licence of whatever source the wording would have been copied from. SECOND, INDEPENDENT REASON, recorded because it stands even if the rights view changed: no source publishes the 2019-2022 item wording at all. The OSF deposit (osf.io/ga5zc, the source of the five clean-data CSVs the processing script reads) contains executive summary, blueprints, data, data dictionary and psychometric analyses, and no instrument. The data dictionary's Label column is boilerplate for all 35 items -- ""Dichotomously scored (correct/incorrect) variable indicating the performance of the test taker on the KCS.RPD.6 item."" -- so mapping_basis=data_labels is unavailable and the labels carry no item referent. The blueprint supplies subcategory names only (e.g. RPD = 'Relative Problem Difficulty'), which is a construct label, not the question, and shipping it would be the option-only failure #1770 rules out. The one place any K-TEEM wording appears is Appendix A of ED603422, and (i) it is the 2016 test form, a different, earlier form, not the 2019/2020/2021/2022 forms this table pools, and (ii) it is image-only: pdftotext -layout over the whole report returns the code lines ('Test-form item #1 / KCS.RPD.6') and one stray stem fragment for CCK.SMW.6, with every stimulus, answer option and figure living in page images. So even absent the rights bar the honest output would be an OCR of a superseded form's items. MAPPING BANKED so a reversal is a re-run, not a restart: item = source column verbatim; the blueprint's Table 2 pins each code to its form position on all four forms; scoring is 0=incorrect, 1=correct per the data dictionary's Values column, with -99 = missing present only in the Original Data (the script reads Clean Data), so option_text would be 0='Incorrect', 1='Correct' and correct_response would come from the report's scoring key. Sources cached under itemtext/.cache/KTEEM_Schoen_2019-2022/ (ED603422.pdf + text, dict2019.xlsx, blueprints.pdf, item_summary.pdf). NOT an access failure: ED603422, the OSF API, the data dictionary and the blueprint all fetched cleanly; only the FSU DigiNole record (repository.lib.fsu.edu/islandora/object/fsu:760327) returned 403/504, and it is not load-bearing -- the restriction is quoted from two other pages. RETRY TEST: NO -- an unchanged retry, right now, would reach the same verdict. It is determinate on two grounds (a quotable rights-holder restriction, and no published wording for these forms). What would have to change: written permission from Robert Schoen / FSU Learning Systems Institute to redistribute the item wording, or publication of the 2019-2022 K-TEEM forms under an open licence, or a change in the IRW ruling on permission-gated instruments. STEP 5b: no verification_KTEEM_Schoen_2019-2022.csv row and no verify_KTEEM_Schoen_2019-2022.R were written -- per SKILL.md Step 5b a blocked table has no live item text and so cannot carry a verification outcome. SCOPE: the five sibling batch_067 tables were not read or written."
kraft_todd_2017_warmth,"Clean pass with caveats. (a) Mapping is paper_order and PARTIAL: WARM1='Tolerant' and WARM2='Warm' are pinned by the data, WARM3='Sincere' vs WARM4='Good natured' rest on the S2 File's listing order only. Note the S3 spreadsheet stores the columns in the order WARM1, WARM2, WARM4, WARM3, which may reflect administration order rather than scale numbering; nothing in the source resolves it. (b) Response labels shifted: the source scale is 0-4, the data are 1-5. (c) The 'Does not apply' option is dropped as missing and has no resp level. Retry test: would an unchanged retry produce a different result? NO -- a clean pass, and the residual WARM3/WARM4 ambiguity is determinate (the source publishes no per-item statistics and no code labels); only new material from the authors could separate those two."
kuczyk_2024_facemask_fba,"PASS with caveats. (1) Administered in German (Hannover Medical School inpatient/day-hospital patients; the only inclusion requirement was 'sufficient German language skills'), but no German wording is published anywhere in the deposit: the paper states 'the questionnaires are available on request', the only data supplement is S1 Data (.s006 SPSS .sav, whose 42 FBA variable labels are in English), and S1-S5 Tables (.s001-.s005) are English TIF images. Fallback per core model 4: the authors' own English sits in the base fields, the _translated columns are empty, language=German, text_source=translated_substitute, translation_source=study_supplied. (2) FBA_6's .sav label ends without a full stop ('...from the therapist's judgments'); S1 Table prints the same sentence with one. The label is shipped verbatim, unpunctuated. (3) Option anchors come from the .sav value labels (1=definitely disagree, 2=slightly disagree, 3=undecided, 4=slightly agree, 5=definitely agree); the paper's Methods renders the same 5-point German scale differently in English ('1 = strongly disagree, 2 = somewhat disagree, 3 = partly agree, 4 = somewhat agree, 5 = strongly agree'). The value labels were preferred because they are tied to the stored integers at the source. (4) Column-name artifact: FBA_29_in_general_pre is suffixed as if it belonged to the general-public block, but its label reads '29 Only pre - I would like the therapist to wear a mask during the therapy session.' and it is a therapy-session item; the general block is FBA_30..FBA_42. Not a defect in the mapping - item codes are melted by name - but the suffix should not be read as content. (5) S1 Table reproduces only items 1-16 and 18-28 (the 27-item questionnaire proper); items 17, 29 and 30-42 exist only in the .sav labels, which is the level-1 source used for all 42. RETRY TEST: not applicable, this is a pass."
kuczyk_2024_facemask_fbe,"PASS with caveats. (1) LANGUAGE FALLBACK: the questionnaire was administered in German at Hannover Medical School (participation required 'sufficient German language skills'), but no German wording exists in the deposit or in any supplement -- S1 Table (the questionnaire, .s001 TIF) is English, the S1 Data .sav (.s006) variable and value labels are English, and the paper states 'the questionnaires are available on request'. Under the 2026-09-01 fallback the study's own English ships in the base fields, item_text_translated/option_text_translated stay empty, and language=German. (2) ANCHOR WORDING: the .sav value labels and the paper's Methods give two different English renderings of the same 1-5 German anchors -- the .sav says 1=definitely disagree, 2=slightly disagree, 3=undecided, 4=slightly agree, 5=definitely agree, while the paper says '1 = strongly disagree, 2 = somewhat disagree, 3 = partly agree, 4 = somewhat agree, and 5 = strongly agree'. The .sav value labels ship (level-1 source, tied to the stored integers); the direction is identical in both, only the adverbs differ. (3) No literal instructions text is published anywhere, so instructions and section_prompt are NA rather than a paraphrase of the paper's administration description. (4) FBE_17 does not exist: the source .sav has FBA_17_pre ('I would like to wear a mask during the therapy session') but no FBE_17, and S1 Table's post-version likewise runs 16 -> 18. The 27-item set is complete, not truncated. RETRY TEST: NO -- a determinate verdict was reached and the table shipped."
kuehner_2017_mw_rumination,"Clean pass with two caveats. (1) LANGUAGE FALLBACK: the study ran at the University of Mannheim with 43 German university students, and the ambulatory assessment was delivered on German-language movisensXS smartphones, so the administered wording was German. No German wording for the MW or RUM probes exists in the deposit or the paper's supporting information -- checked all five: S1 Text (s001, DOCX) is the German ARSQ 2.0 only (48 lab items, none of them MW/RUM); S1/S2/S3 File (s002/s003/s004, SPSS .sav) carry ZERO variable labels across all 28 columns and a single value-label set (sex: 0=m, 1=w). So the English printed in the paper's Methods ships in the base fields with the _translated columns empty, language=German, per the documented fallback. (2) Only resp 1 and 7 of MW carry a published anchor; resp 2-6 of MW and all seven levels of RUM are unlabelled in the source and are left blank rather than padded with their own numbers."
kushnir2017_bfi,"PASS with caveats. (1) The deposit publishes no instructions: the single CC0 .xlsx (doi:10.7910/DVN/8LBLYS) holds only data, so `instructions` and `section_prompt` are NA. In the canonical BFI-44 each item completes the stem 'I see myself as someone who...' and is preceded by a short preamble; neither is recorded in the study's materials, so neither was transcribed rather than importing wording the study may not have used (the file stores label strings, so the canonical 'Please write a number next to each statement' demonstrably does not describe this administration). (2) Item code '((BFI_38) Makes plans and follows through with them' carries a double open-paren typo present in the source header; it is reproduced verbatim because it is the join key. (3) Rights checked: the BFI's rights holder (Berkeley Personality Lab, ocf.berkeley.edu/~johnlab/bfi.html) states only a non-commercial restriction -- 'it is freely available for researchers to use for non-commercial research purposes' -- with no fee and no redistribution bar, and IRW's wording came from the study's own CC0 1.0 deposit, so under the ECR-R ruling this does not block."
kuehner_2017_mw_rumination,"AUDIT WARN EXPLAINED (Step 5c): audit_batch flags '85.7% of rows have blank option_text' and 'RUM has NO option_text rows while MW does'. This is a property of the SOURCE, not an itemtext defect and not a defect in the response data. Kuehner et al. 2017 print anchors for only the two endpoints of the MW probe (1 = 'I was completely on task', 7 = 'I was completely off task') and publish no anchors at all for the RUM probe, which is reported as an unlabelled 1-7 agreement rating. Per the standard's never-pad rule the 5 unlabelled MW points and all 7 RUM points are left blank rather than filled with their own numbers, which is what produces both WARNs. The response data are complete and well formed: both items carry n=1964 over the full resp set 1-7. Nothing to fix; a fix would require anchor wording the paper never published."
kraft_todd_2017_warmth,"ORCHESTRATOR VERIFICATION (Step 5b): the agent's two load-bearing claims were independently re-checked and BOTH CONFIRMED. (1) The 'Does not apply' drop counts 85/13/33/12 are exact: live per-item n is WARM1 1292, WARM2 1364, WARM3 1344, WARM4 1365, and each plus its drop count equals exactly 1377, the same total for all four items. This also independently corroborates WARM1 as the item most often rated inapplicable, which is one of the three legs pinning WARM1='Tolerant'. (2) The S3 spreadsheet really does store the columns out of numeric order: the header row reads COMP1, COMP2, COMP3, COMP4, COMP5, WARM1, WARM2, WARM4, WARM3. The residual WARM3/WARM4 ('Sincere' vs 'Good natured') ambiguity is therefore real and is correctly reflected in the PARTIAL verification status; nothing in the source resolves it, and only new material from the authors would."
kushnir2017_bfi,"ORCHESTRATOR VERIFICATION (Step 5b): the reported source typo is real and live -- the IRW item set genuinely contains '((BFI_38) Makes plans and follows through with them' with a doubled opening parenthesis, confirmed against the live table via table_sets.R. It is retained deliberately because item is the join key to the response table. LINT WARN REVIEWED, STATUS LEFT AT VERIFIED: lint_verification asks whether the hedge in the evidence should make this PARTIAL. It should not. The hedge concerns option_text only -- one of 44 items has tied response-level counts that route 9 cannot separate on its own -- whereas the item<->item_text mapping, which is what VERIFIED is defined over, is established for all 44 by Step 5b exemption 1: the item code is a self-describing source column header and 44 of 44 headers re-derive with 0 mismatches."
kuczyk_2024_facemask_fbe,"ORCHESTRATOR VERIFICATION (Step 5b): the claim that FBE_17 does not exist is CONFIRMED against the live table -- the item set holds exactly 27 codes and runs FBE_16 then FBE_18, so the set is complete rather than truncated, matching the printed post-version questionnaire in S1 Table. Noted separately for triage, not a defect and not flagged by any gate: FBE_21 is observed at only 3 of the 5 response levels (resp 1-3) and FBE_22 at 4 (resp 1-4), so the option rows this file ships for their unused top levels describe options no respondent selected. The table-level resp set is 1-5 and the .sav value labels define all five, so shipping all five is correct."
