"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,"Inte alls","not at all",1
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,2
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,3
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,4
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,5
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,6
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,7
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,8
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,9
"sleboda_2021_risk_benefit","sleboda_2021_risk_benefit_GT","GT_dread","16-item risk questionnaire (Savadori, Savio, Nicotra, Rumiati, Finucane & Slovic, 2004), Swedish translation, adapted to five technologies","Swedish",NA,NA,"gene technology for plant breeding",NA,"Dread: How much does this application frighten you?",NA,NA,NA,NA,10
