"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","correlation_causation","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting two temporally or coincidentally related events as evidence of a causal link.",NA,"Not identified in the post",0
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","correlation_causation","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting two temporally or coincidentally related events as evidence of a causal link.",NA,"Identified in the post",1
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","base_rate_neglect","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Disregarding the underlying prevalence of vaccinated and unvaccinated individuals when drawing conclusions from numerical comparisons",NA,"Not identified in the post",0
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","base_rate_neglect","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Disregarding the underlying prevalence of vaccinated and unvaccinated individuals when drawing conclusions from numerical comparisons",NA,"Identified in the post",1
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","denominator_neglect","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting absolute numbers without reference to the size of the population from which they are derived",NA,"Not identified in the post",0
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","denominator_neglect","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting absolute numbers without reference to the size of the population from which they are derived",NA,"Identified in the post",1
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","cherry_picking","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Selective use of numerical evidence (e.g., specific datasets, countries, or time periods) to support a predetermined conclusion",NA,"Not identified in the post",0
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","cherry_picking","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Selective use of numerical evidence (e.g., specific datasets, countries, or time periods) to support a predetermined conclusion",NA,"Identified in the post",1
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","relative_absolute_risk","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting proportional changes without consideration of the baseline values from which they arise",NA,"Not identified in the post",0
"ordak_2026_vaccine_misreasoning","ordak_2026_vaccine_misreasoning_1","relative_absolute_risk","Statistical misreasoning coding framework (ten categories)","Coding decisions were based on identifying patterns of reasoning in the posts that matched the conceptual definitions of each category. Each category was applied using consistent criteria derived from its definition, focusing on how numerical information was interpreted within the post.",NA,"Interpreting proportional changes without consideration of the baseline values from which they arise",NA,"Identified in the post",1
