"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"famous_melodies","famous_melodies_1","valence","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's valence -- how positive or negative it sounds]",NA,NA,0
"famous_melodies","famous_melodies_1","valence","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's valence -- how positive or negative it sounds]",NA,NA,1
"famous_melodies","famous_melodies_1","valence","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's valence -- how positive or negative it sounds]",NA,NA,2
"famous_melodies","famous_melodies_1","valence","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's valence -- how positive or negative it sounds]",NA,NA,3
"famous_melodies","famous_melodies_1","valence","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's valence -- how positive or negative it sounds]",NA,NA,4
"famous_melodies","famous_melodies_1","arousal","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's arousal -- how calming or exciting it sounds]",NA,NA,0
"famous_melodies","famous_melodies_1","arousal","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's arousal -- how calming or exciting it sounds]",NA,NA,1
"famous_melodies","famous_melodies_1","arousal","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's arousal -- how calming or exciting it sounds]",NA,NA,2
"famous_melodies","famous_melodies_1","arousal","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's arousal -- how calming or exciting it sounds]",NA,NA,3
"famous_melodies","famous_melodies_1","arousal","Normative rating task for the famous melodies stimulus set (Belfi & Kacirek 2021, 'The famous melodies stimulus set', Behavior Research Methods 53:34, doi:10.3758/s13428-020-01411-6); deposit osf.io/wrqzm","Listeners heard short excerpts of well-known melodies and rated each on several dimensions. NOTE: the rows of this table are ratings of a MELODY -- id is the stimulus and rater is the person.","observed scale 0-4","[rating of the melody's arousal -- how calming or exciting it sounds]",NA,NA,4
