"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,"completely disagree",1,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,NA,2,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,NA,3,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,NA,5,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,NA,6,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_1","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group has fewer resources because of other ethnic groups in Norway.",NA,"completely agree",7,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_2","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group's well-being is threatened because of other ethnic groups in Norway.",NA,"completely disagree",1,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_2","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group's well-being is threatened because of other ethnic groups in Norway.",NA,NA,2,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_2","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group's well-being is threatened because of other ethnic groups in Norway.",NA,NA,3,NA,NA,NA,NA
"eldor_2022_realistic_threat","eldor_2022_realistic_threat_1","realistic_threat_2","Realistic threat (adapted from Obaidi et al., 2018b; 3 items)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"My ethnic group's well-being is threatened because of other ethnic groups in Norway.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
