"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"mental_health_malawi","PASS",40,40,TRUE,TRUE,FALSE,TRUE,0,0,""
"mturkddm_by","PASS",20,20,TRUE,TRUE,TRUE,TRUE,0,0,""
"mturkddm_lexical","WARN",4588,4588,TRUE,TRUE,TRUE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=14: abdominal, aberrant, able, above, accelerate, account, accredit, accustom, acetic, acrid, ..."
"much_tte_2025_concentrationtask","PASS",9,9,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"much_tte_2025_currentmotivation","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,98,"98% of rows have blank option_text"
"much_tte_2025_effort","PASS",5,5,TRUE,TRUE,FALSE,TRUE,0,50,"50% of rows have blank option_text"
"nas_rogoza_2024_study2_ngs","PASS",13,13,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"nomt_hooper_2024_study2","PASS",144,144,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"pass20_klosowska_2025_dass_online","PASS",21,21,TRUE,TRUE,FALSE,TRUE,0,50,"50% of rows have blank option_text"
"polca_carcinoma","PASS",7,7,TRUE,TRUE,TRUE,TRUE,0,0,""
