"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT1","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the agricultural products of Hulunbuir’s regional public brands are trustworthy.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT1","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the agricultural products of Hulunbuir’s regional public brands are trustworthy.",NA,NA,2,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT1","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the agricultural products of Hulunbuir’s regional public brands are trustworthy.",NA,NA,3,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT1","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the agricultural products of Hulunbuir’s regional public brands are trustworthy.",NA,NA,4,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT1","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the agricultural products of Hulunbuir’s regional public brands are trustworthy.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT2","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is reliable.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT2","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is reliable.",NA,NA,2,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT2","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is reliable.",NA,NA,3,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT2","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is reliable.",NA,NA,4,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT2","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is reliable.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT3","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is stable.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT3","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is stable.",NA,NA,2,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT3","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is stable.",NA,NA,3,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT3","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is stable.",NA,NA,4,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT3","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"I feel that the quality of agricultural products of Hulunbuir’s regional public brands is stable.",NA,"strongly agree",5,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT4","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"The Hulunbuir’s regional public brands keep promise of providing high-quality food from the place of origin.",NA,"strongly disagree",1,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT4","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"The Hulunbuir’s regional public brands keep promise of providing high-quality food from the place of origin.",NA,NA,2,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT4","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"The Hulunbuir’s regional public brands keep promise of providing high-quality food from the place of origin.",NA,NA,3,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT4","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"The Hulunbuir’s regional public brands keep promise of providing high-quality food from the place of origin.",NA,NA,4,NA,NA,NA,NA
"liu_2023_brand_trust","liu_2023_brand_trust_1","BT4","Brand trust toward agricultural products’ regional public brand (Liu & Wang, 2023)","Chinese",NA,NA,"The Hulunbuir’s regional public brands keep promise of providing high-quality food from the place of origin.",NA,"strongly agree",5,NA,NA,NA,NA
