"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_01","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the overall cost of purchasing and using an NEV is high？",NA,"Definitely agree",1
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_01","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the overall cost of purchasing and using an NEV is high？",NA,"Agree",2
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_01","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the overall cost of purchasing and using an NEV is high？",NA,"Neither",3
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_01","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the overall cost of purchasing and using an NEV is high？",NA,"Disagree",4
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_01","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the overall cost of purchasing and using an NEV is high？",NA,"Definitely disagree",5
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_02","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think charging piles are scarce and the charging is costly and time consuming？",NA,"Definitely agree",1
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_02","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think charging piles are scarce and the charging is costly and time consuming？",NA,"Agree",2
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_02","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think charging piles are scarce and the charging is costly and time consuming？",NA,"Neither",3
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_02","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think charging piles are scarce and the charging is costly and time consuming？",NA,"Disagree",4
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_02","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think charging piles are scarce and the charging is costly and time consuming？",NA,"Definitely disagree",5
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_03","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think it’s costly to fix an NEV？",NA,"Definitely agree",1
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_03","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think it’s costly to fix an NEV？",NA,"Agree",2
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_03","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think it’s costly to fix an NEV？",NA,"Neither",3
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_03","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think it’s costly to fix an NEV？",NA,"Disagree",4
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_03","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think it’s costly to fix an NEV？",NA,"Definitely disagree",5
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_04","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I believe that the batteries of NEVs wear out easily, the replacement cost is high, and the car retention rate is low？",NA,"Definitely agree",1
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_04","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I believe that the batteries of NEVs wear out easily, the replacement cost is high, and the car retention rate is low？",NA,"Agree",2
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_04","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I believe that the batteries of NEVs wear out easily, the replacement cost is high, and the car retention rate is low？",NA,"Neither",3
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_04","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I believe that the batteries of NEVs wear out easily, the replacement cost is high, and the car retention rate is low？",NA,"Disagree",4
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_04","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I believe that the batteries of NEVs wear out easily, the replacement cost is high, and the car retention rate is low？",NA,"Definitely disagree",5
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_05","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the insurance premium for an NEV are much higher than for gasoline cars？",NA,"Definitely agree",1
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_05","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the insurance premium for an NEV are much higher than for gasoline cars？",NA,"Agree",2
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_05","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the insurance premium for an NEV are much higher than for gasoline cars？",NA,"Neither",3
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_05","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the insurance premium for an NEV are much higher than for gasoline cars？",NA,"Disagree",4
"pang_2023_perceived_cost","pang_2023_perceived_cost_1","item_05","Media-based perceptions and adoption model (MPAM) of new energy vehicles questionnaire - Perceived cost (PC)","Chinese","Notes: new energy vehicles (NEV)",NA,"I think the insurance premium for an NEV are much higher than for gasoline cars？",NA,"Definitely disagree",5
