"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,"isolating",1
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,NA,2
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,NA,3
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,NA,4
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,NA,5
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,NA,6
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_1","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","isolating – connective",NA,"connective",7
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_2","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","unprofessional – professional",NA,"unprofessional",1
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_2","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","unprofessional – professional",NA,NA,2
"FIVPEI_Perrig_2023_AttDiff","FIVPEI_Perrig_2023_AttDiff_1","HQI_2","AttrakDiff semantic differential (Hassenzahl), as administered in the PXI validation study (Perrig et al. 2023)","With the help of the word pairs, please enter what you consider the most appropriate description for the game. Please click one item in every line. The following word pairs will help you for your assessment. They represent stark contrasts and can be subdivided into further rating levels. Do not ponder over the word pairs and make your assessment spontaneously. You may feel that some word pairs do not fit the game very well. However, we would ask you to give an answer anyway.","Hedonic Quality - Identity","unprofessional – professional",NA,NA,3
