"table","section_id","item","instrument","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_frequency","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma bebidas alcoólicas?","How often do you have a drink containing alcohol?",NA,"Nunca","Never",0,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_frequency","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma bebidas alcoólicas?","How often do you have a drink containing alcohol?",NA,"Mensalmente ou menos","Monthly or less",1,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_frequency","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma bebidas alcoólicas?","How often do you have a drink containing alcohol?",NA,"De 2 a 4 vezes por mês","2-4 times a month",2,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_frequency","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma bebidas alcoólicas?","How often do you have a drink containing alcohol?",NA,"De 2 a 3 vezes por semana","2-3 times a week",3,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_frequency","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma bebidas alcoólicas?","How often do you have a drink containing alcohol?",NA,"4 ou mais vezes por semana","4 or more times a week",4,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_number_drinks","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Nas ocasiões em que você bebe, quantas doses consome tipicamente? Observação: 1 dose-padrão = 40mL de vodka ou 40mL de pinga ou 40mL de uísque ou 1 taça de vinho de mesa ou 1 lata de cerveja, conforme a imagem abaixo: [imagem das doses-padrão]","How many standard drinks containing alcohol do you have on a typical day? [The administered Portuguese form adds: 1 standard drink = 40 mL of vodka or 40 mL of cachaça or 40 mL of whisky or 1 glass of table wine or 1 can of beer, as in the image below, followed by an image of the standard drinks. The study's English questionnaire omits both.]",NA,"Não bebo / 1 ou 2","I do not drink / 1 or 2",0,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_number_drinks","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Nas ocasiões em que você bebe, quantas doses consome tipicamente? Observação: 1 dose-padrão = 40mL de vodka ou 40mL de pinga ou 40mL de uísque ou 1 taça de vinho de mesa ou 1 lata de cerveja, conforme a imagem abaixo: [imagem das doses-padrão]","How many standard drinks containing alcohol do you have on a typical day? [The administered Portuguese form adds: 1 standard drink = 40 mL of vodka or 40 mL of cachaça or 40 mL of whisky or 1 glass of table wine or 1 can of beer, as in the image below, followed by an image of the standard drinks. The study's English questionnaire omits both.]",NA,"3 ou 4","3 to 4",1,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_number_drinks","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Nas ocasiões em que você bebe, quantas doses consome tipicamente? Observação: 1 dose-padrão = 40mL de vodka ou 40mL de pinga ou 40mL de uísque ou 1 taça de vinho de mesa ou 1 lata de cerveja, conforme a imagem abaixo: [imagem das doses-padrão]","How many standard drinks containing alcohol do you have on a typical day? [The administered Portuguese form adds: 1 standard drink = 40 mL of vodka or 40 mL of cachaça or 40 mL of whisky or 1 glass of table wine or 1 can of beer, as in the image below, followed by an image of the standard drinks. The study's English questionnaire omits both.]",NA,"5 ou 6","5 to 6",2,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_number_drinks","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Nas ocasiões em que você bebe, quantas doses consome tipicamente? Observação: 1 dose-padrão = 40mL de vodka ou 40mL de pinga ou 40mL de uísque ou 1 taça de vinho de mesa ou 1 lata de cerveja, conforme a imagem abaixo: [imagem das doses-padrão]","How many standard drinks containing alcohol do you have on a typical day? [The administered Portuguese form adds: 1 standard drink = 40 mL of vodka or 40 mL of cachaça or 40 mL of whisky or 1 glass of table wine or 1 can of beer, as in the image below, followed by an image of the standard drinks. The study's English questionnaire omits both.]",NA,"7, 8 ou 9","7 to 9",3,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_number_drinks","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Nas ocasiões em que você bebe, quantas doses consome tipicamente? Observação: 1 dose-padrão = 40mL de vodka ou 40mL de pinga ou 40mL de uísque ou 1 taça de vinho de mesa ou 1 lata de cerveja, conforme a imagem abaixo: [imagem das doses-padrão]","How many standard drinks containing alcohol do you have on a typical day? [The administered Portuguese form adds: 1 standard drink = 40 mL of vodka or 40 mL of cachaça or 40 mL of whisky or 1 glass of table wine or 1 can of beer, as in the image below, followed by an image of the standard drinks. The study's English questionnaire omits both.]",NA,"10 ou mais","10 or more",4,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_binge","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma 6 ou mais doses em uma única ocasião?","How often do you have six or more drinks on one occasion?",NA,"Nunca","Never",0,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_binge","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma 6 ou mais doses em uma única ocasião?","How often do you have six or more drinks on one occasion?",NA,"Menos do que uma vez ao mês","Less than monthly",1,"Portuguese"
"audit_BrummerHoffman_2021","audit_BrummerHoffman_2021_1","audit_binge","AUDIT-C, Brazilian Portuguese as administered by Brummer & Hoffman (2021), deposit osf.io/p8j2v. The administered wording and option order are taken from Questionnaire_Portuguese_BR.pdf and from the deposit's own processing script (Deidentified data set/Question_framing_data_processing.Rmd), whose car::recode() calls name every option against the score it becomes. The English is the study's own Questionnaire_English.pdf. NOTE that the English PDF prints the third item's options in DESCENDING order and omits the 'Nao bebo' option from the second; the Portuguese form and the recode code are authoritative and both are ascending.","Em relação aos últimos 30 dias:","Regarding the last 30 days:",NA,"Com que frequência você toma 6 ou mais doses em uma única ocasião?","How often do you have six or more drinks on one occasion?",NA,"Mensalmente","Monthly",2,"Portuguese"
