"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_1","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Go out of my way to help others in need.",NA,"Strongly Disagree",1
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_1","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Go out of my way to help others in need.",NA,"Disagree",2
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_1","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Go out of my way to help others in need.",NA,"Neither agree nor disagree",3
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_1","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Go out of my way to help others in need.",NA,"Agree",4
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_1","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Go out of my way to help others in need.",NA,"Strongly agree",5
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_2","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Demonstrate empathy and understanding towards individuals going through difficult times.",NA,"Strongly Disagree",1
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_2","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Demonstrate empathy and understanding towards individuals going through difficult times.",NA,"Disagree",2
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_2","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Demonstrate empathy and understanding towards individuals going through difficult times.",NA,"Neither agree nor disagree",3
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_2","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Demonstrate empathy and understanding towards individuals going through difficult times.",NA,"Agree",4
"genpsych_russell_2024_gpt3_5","genpsych_russell_2024_gpt3_5_1","items_2","AI-GENIE GPT-3.5 generated Big Five personality inventory","The following questions ask about your personality. You should respond with the extent to which you agree with each statement based on how you act, think, and feel on average. There is no right or wrong answers, so answer honestly.",NA,"Demonstrate empathy and understanding towards individuals going through difficult times.",NA,"Strongly agree",5
