"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,"completely disagree",1,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,NA,2,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,NA,3,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,NA,5,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,NA,6,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_1","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel angry when I think of injustices committed against my ethnic group.",NA,"completely agree",7,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,"completely disagree",1,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,NA,2,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,NA,3,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,NA,5,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,NA,6,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_2","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel outrage when I think of injustices committed against my ethnic group.",NA,"completely agree",7,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,"completely disagree",1,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,NA,2,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,NA,3,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,"neither agree nor disagree",4,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,NA,5,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,NA,6,NA,NA,NA,NA
"eldor_2022_collective_anger","eldor_2022_collective_anger_1","colelctive_anger_3","Collective anger (adapted from Obaidi et al., 2019)","Norwegian","Please state how much you agree or disagree with these questions.",NA,"I feel furious when I think of injustices committed against my ethnic group.",NA,"completely agree",7,NA,NA,NA,NA
