"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP1","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我升职的机会很有限","In the current organization, my chances of promotion are very limited.",NA,"非常不符合","Strongly disagree",1
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP1","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我升职的机会很有限","In the current organization, my chances of promotion are very limited.",NA,"比较不符合","Disagree",2
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP1","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我升职的机会很有限","In the current organization, my chances of promotion are very limited.",NA,"不确定","Not Sure",3
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP1","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我升职的机会很有限","In the current organization, my chances of promotion are very limited.",NA,"比较符合","Agree",4
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP1","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我升职的机会很有限","In the current organization, my chances of promotion are very limited.",NA,"非常符合","Strongly agree",5
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP2","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我被提拔的可能性很小","In the current organization, the likelihood of my being promoted is very small.",NA,"非常不符合","Strongly disagree",1
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP2","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我被提拔的可能性很小","In the current organization, the likelihood of my being promoted is very small.",NA,"比较不符合","Disagree",2
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP2","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我被提拔的可能性很小","In the current organization, the likelihood of my being promoted is very small.",NA,"不确定","Not Sure",3
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP2","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我被提拔的可能性很小","In the current organization, the likelihood of my being promoted is very small.",NA,"比较符合","Agree",4
"xiao_2024_hierarchical_plateau","xiao_2024_hierarchical_plateau_1","HP2","Hierarchical plateau scale (Allen, Poteet & Russell, 1998; 4-item brief career plateau measure after Milliman, 1992), Chinese version","Chinese","本部分是一些关于层级高原的描述，请根据您个人的感受，表达您对这些描述的同意程度，同意程度共分为五级，请选择符合您实际情况的选项。（1=非常不符合，2=比较不符合，3=不确定，4=比较符合，5=非常符合）","Please express your level of agreement with these statements based on your personal feelings. The degree of agreement is divided into five levels. Please select the option that corresponds to your actual situation. (1 = Strongly Disagree, 2 = Disagree, 3 = Not Sure, 4 = Agree, 5 = Strongly Agree)",NA,NA,"在目前的组织中，我被提拔的可能性很小","In the current organization, the likelihood of my being promoted is very small.",NA,"非常符合","Strongly agree",5
