"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien1","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I don't know how I really feel inside",NA,NA,"strongly agree",NA,1
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien1","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I don't know how I really feel inside",NA,NA,NA,NA,2
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien1","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I don't know how I really feel inside",NA,NA,NA,NA,3
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien1","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I don't know how I really feel inside",NA,NA,NA,NA,4
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien1","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I don't know how I really feel inside",NA,NA,"strongly disagree",NA,5
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien2","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel as if I don't know myself very well",NA,NA,"strongly agree",NA,1
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien2","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel as if I don't know myself very well",NA,NA,NA,NA,2
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien2","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel as if I don't know myself very well",NA,NA,NA,NA,3
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien2","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel as if I don't know myself very well",NA,NA,NA,NA,4
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien2","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel as if I don't know myself very well",NA,NA,"strongly disagree",NA,5
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien3","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel out of touch with the 'real me'",NA,NA,"strongly agree",NA,1
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien3","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel out of touch with the 'real me'",NA,NA,NA,NA,2
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien3","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel out of touch with the 'real me'",NA,NA,NA,NA,3
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien3","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel out of touch with the 'real me'",NA,NA,NA,NA,4
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien3","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel out of touch with the 'real me'",NA,NA,"strongly disagree",NA,5
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien4","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel alienated from myself",NA,NA,"strongly agree",NA,1
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien4","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel alienated from myself",NA,NA,NA,NA,2
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien4","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel alienated from myself",NA,NA,NA,NA,3
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien4","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel alienated from myself",NA,NA,NA,NA,4
"wang_2016_study1_authalien","wang_2016_study1_authalien_1","authalien4","Authenticity Scale (Wood et al., 2008), Self-Alienation subscale","Chinese",NA,NA,NA,NA,"I feel alienated from myself",NA,NA,"strongly disagree",NA,5
