"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"Sequences of actions (skill acquisition).",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"Sequences of actions (skill acquisition).",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"Sequences of actions (skill acquisition).",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"Sequences of actions (skill acquisition).",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-1","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"Sequences of actions (skill acquisition).",NA,NA,"Very satisfied",NA,5
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"The system uses different colors to categorize different items.",NA,NA,"Very unsatisfied",NA,1
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"The system uses different colors to categorize different items.",NA,NA,"Unsatisfied",NA,2
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"The system uses different colors to categorize different items.",NA,NA,"Neutral",NA,3
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"The system uses different colors to categorize different items.",NA,NA,"Satisfied",NA,4
"tsai_2017_treeit_h1_consistency","tsai_2017_treeit_h1_consistency_1","H1-2","Treeit Heuristic Evaluation (Tsai et al. 2017, Appendix 1; adapted from Zhang et al. 2003 usability heuristics): H1. Consistency","Chinese","Consistency and standards. Users should not have to wonder whether different words, situations, or actions mean the same thing. Standards and conventions in product design should be followed.",NA,NA,NA,"The system uses different colors to categorize different items.",NA,NA,"Very satisfied",NA,5
