"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","raw_resp"
"mturkddm_lexical","mturkddm_lexical_2","abdominal","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abdominal","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","abdominal","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abdominal","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","aberrant","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","aberrant","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","aberrant","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","aberrant","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_1","able","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","able","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_1","able","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","able","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","abode","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abode","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","abode","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abode","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_1","above","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","above","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_1","above","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","above","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","abyss","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abyss","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","abyss","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","abyss","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","accelerate","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","accelerate","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","accelerate","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","accelerate","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","accessible","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","accessible","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","accessible","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","accessible","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_2","acclaim","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","acclaim","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_2","acclaim","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Low-frequency word pool","acclaim","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_1","account","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","account","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_1","account","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","High-frequency word pool","account","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_3","accredit","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Very-low-frequency word pool","accredit","valid word","valid word",1,"key 1"
"mturkddm_lexical","mturkddm_lexical_3","accredit","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Very-low-frequency word pool","accredit","valid word","nonword",0,"key 2"
"mturkddm_lexical","mturkddm_lexical_3","accustom","Lexical decision task, Experiment 1 (Ratcliff & Hendrickson (2021), 'Do data from mechanical Turk subjects replicate accuracy, response time, and diffusion modeling results?', Behavior Research Methods 53:2302), deposit osf.io/za9y8","A letter string was presented and the participant decided whether it was a valid English word or a nonword, responding with key 1 for “valid word” and key 2 for “nonword”.","Very-low-frequency word pool","accustom","valid word","valid word",1,"key 1"
