"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"eammi_grahe_2018_npi","main","NPI1","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I find it easy to manipulate people.",1
"eammi_grahe_2018_npi","main","NPI1","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I don't like it when I find myself manipulating people.",2
"eammi_grahe_2018_npi","main","NPI2","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","When people compliment me I get embarrassed.",1
"eammi_grahe_2018_npi","main","NPI2","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I know that I am a good person because everybody keeps telling me so.",2
"eammi_grahe_2018_npi","main","NPI3","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I like having authority over other people.",1
"eammi_grahe_2018_npi","main","NPI3","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I don't mind following orders.",2
"eammi_grahe_2018_npi","main","NPI4","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I insist upon getting the respect that is due me.",1
"eammi_grahe_2018_npi","main","NPI4","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I usually get the respect I deserve.",2
"eammi_grahe_2018_npi","main","NPI5","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I don't particularly like to show off my body.",1
"eammi_grahe_2018_npi","main","NPI5","Narcissism","Forced-choice Narcissistic Personality Inventory short form (NPI-13). For each item pair, respondents chose the statement that better describes them; resp=1 is the narcissistic-pole statement, resp=2 is the non-narcissistic-pole statement.","NA","NA","NA","I like to show off my body.",2
